theme,var,r,p,n
traveltime,avg_minutes_to_market_financial,0.9159031301969754,0.00019750670508505397,10
foodinsecurity,few_types_of_food,0.8714077575474336,0.0010214004312975359,10
foodinsecurity,ran_out_of_food,0.8248680959944635,0.003312254233244063,10
waterresources,streams,0.7986421059098989,0.005595845583301768,10
poverty,poverty_total,0.7947132461506168,0.006014839380686605,10
foodinsecurity,food_insec_scale,0.7753141776691534,0.008416230260004664,10
foodinsecurity,hungry_did_not_eat,0.7634410974840848,0.010181688313285071,10
outflow,difficult_access_to_village,0.7465136712107026,0.01312803053757737,10
productions,lack_agri_equipment,0.7446261621937431,0.013489738202863888,10
foodinsecurity,skipped_meal,0.7376290831895069,0.014891452433900316,10
foodinsecurity,without_food_all_day,0.7284494356561323,0.016880355212428286,10
poverty,poverty_urban,0.7127618121976329,0.020694408300965018,10
waterresources,rivers,0.6890757202785658,0.027520974430720845,10
foodinsecurity,went_without_food,0.687867833498863,0.027905520773260268,10
communications,none,0.6669211995100415,0.03516981929463034,10
foodinsecurity,ate_less_than_needed,0.6132668432898608,0.059361465260781066,10
productions,rural_exodus,0.5783884303790584,0.07984516952781082,10
productions,lack_tech_assist,0.4965279023359382,0.14433977969853945,10
infra,field_schools,0.4700891828619927,0.1703772334017051,10
productions,diff_dispose_products,0.4635857819433598,0.17718201342334686,10
outflow,high_transport_cost,0.399857649123337,0.25225660113712645,10
outflow,lack_transport_means,0.3620678307346584,0.3038935919346882,10
productions,diff_access_credit,0.32471027914034856,0.3599695008953422,10
outflow,other,0.09540442031945996,0.7931920414884389,10
productions,lack_manpower,0.08961842515333128,0.8055266124955706,10
waterresources,lakes,0.01635103232476048,0.9642416780230996,10
productions,diff_access_land,0.009490841068372459,0.9792406551503874,10
productions,unavailable_agri_land,-0.0006217978631551924,0.9986398177002391,10
communications,internet,-0.07929155697010301,0.8276361196804005,10
outflow,insufficient_transport,-0.082343880680258,0.8210891555720125,10
productions,diff_access_water,-0.1776289572460933,0.6234662720403112,10
outflow,lack_conservation_infra,-0.1833414666706529,0.6121520718305014,10
communications,newspaper,-0.21578524584296138,0.5493417982776131,10
infra,primary_schools,-0.358697815692067,0.30875008869705395,10
waterresources,wells,-0.4046456892878256,0.24608868893593652,10
productions,lack_rain,-0.4344182271304258,0.20965380576134912,10
infra,mech_agri_equip,-0.45626034888888245,0.18503687807171001,10
outflow,none,-0.46078151826671365,0.18016516125127666,10
infra,veterinarians,-0.4857262137098275,0.1546630257443601,10
infra,agri_schools,-0.5042784128499634,0.137198693760957,10
infra,banking,-0.542144709732306,0.10546157314699854,10
infra,water_storage,-0.5770207796244605,0.0807299788575367,10
communications,television,-0.5911015056693085,0.0719192384876046,10
communications,radio,-0.6026558614838894,0.06517637777750224,10
infra,electricity,-0.6071674392119316,0.06266034018964817,10
infra,agri_stock,-0.6205631297571824,0.05556822294271872,10
foodinsecurity,unable_eat_healthy,-0.6256320794004635,0.05302962655220545,10
communications,telephone,-0.7662532120345611,0.009741982025339492,10
waterresources,lagoons,-0.7704586695826199,0.00910963393965427,10
infra,health_units,-0.7847252352355756,0.007179883461251081,10
