ADM2CD_c,NAM_2,NAM_1,communications__telephone,communications__internet,communications__newspaper,communications__radio,communications__television,communications__none,foodinsecurity__went_without_food,foodinsecurity__unable_eat_healthy,foodinsecurity__few_types_of_food,foodinsecurity__skipped_meal,foodinsecurity__ate_less_than_needed,foodinsecurity__ran_out_of_food,foodinsecurity__hungry_did_not_eat,foodinsecurity__without_food_all_day,foodinsecurity__food_insec_scale,infra__electricity,infra__water_storage,infra__veterinarians,infra__banking,infra__mech_agri_equip,infra__agri_schools,infra__primary_schools,infra__field_schools,infra__health_units,infra__agri_stock,outflow__none,outflow__difficult_access_to_village,outflow__insufficient_transport,outflow__lack_conservation_infra,outflow__high_transport_cost,outflow__lack_transport_means,outflow__other,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,productions__diff_access_land,productions__unavailable_agri_land,productions__diff_access_water,productions__rural_exodus,productions__diff_dispose_products,productions__lack_rain,productions__lack_agri_equipment,productions__lack_tech_assist,productions__lack_manpower,productions__diff_access_credit,traveltime__avg_minutes_to_market_financial,waterresources__rivers,waterresources__streams,waterresources__lakes,waterresources__lagoons,waterresources__wells
AGO002001,Baia Farta,Benguela,0.765,0.185,0.025,0.667,0.469,0.136,0.86,0.17600000000000002,0.835,0.8190000000000001,0.807,0.652,0.6920000000000001,0.518,0.6729999999999999,0.506,0.469,0.086,0.012,0.025,0.0,0.43200000000000005,0.111,0.235,0.012,0.025,0.79,0.9009999999999999,0.938,0.951,0.58,0.0,0.442,0.258,0.318,0.34600000000000003,0.247,0.494,0.494,0.605,0.42,0.667,0.593,0.21,0.605,75.2991174,0.43200000000000005,0.12300000000000001,0.025,0.111,0.29600000000000004
AGO002002,Balombo,Benguela,0.55,0.20600000000000002,0.006,0.628,0.294,0.311,0.885,0.12,0.888,0.816,0.8270000000000001,0.7929999999999999,0.7759999999999999,0.5760000000000001,0.71,0.07200000000000001,0.6,0.244,0.0,0.011000000000000001,0.017,0.306,0.139,0.11699999999999999,0.017,0.022000000000000002,0.6779999999999999,0.8109999999999999,0.478,0.8220000000000001,0.556,0.017,0.6940000000000001,0.44299999999999995,0.61,0.256,0.272,0.478,0.539,0.644,0.244,0.9059999999999999,0.65,0.322,0.494,142.53532392000002,0.6829999999999999,0.672,0.044000000000000004,0.039,0.122
AGO002003,Benguela,Benguela,0.85,0.25,0.0,0.9,0.65,0.0,0.833,0.17300000000000001,0.795,0.76,0.84,0.6990000000000001,0.6709999999999999,0.562,0.6659999999999999,0.15,0.7,0.25,0.0,0.15,0.3,0.75,0.05,0.45,0.05,0.05,0.4,0.8,0.85,0.75,0.15,0.0,0.349,0.149,0.151,0.3,0.25,0.55,0.1,0.6,0.4,0.7,0.75,0.25,0.5,49.682191859999996,0.45,0.25,0.05,0.15,0.3
AGO002004,Bocoio,Benguela,0.368,0.005,0.005,0.6859999999999999,0.12300000000000001,0.20600000000000002,0.856,0.213,0.865,0.81,0.82,0.745,0.693,0.563,0.7020000000000001,0.064,0.272,0.301,0.008,0.01,0.008,0.38299999999999995,0.36200000000000004,0.105,0.0,0.057,0.733,0.6990000000000001,0.748,0.853,0.48100000000000004,0.003,0.652,0.457,0.599,0.38799999999999996,0.159,0.47600000000000003,0.45799999999999996,0.6970000000000001,0.293,0.8640000000000001,0.823,0.152,0.8590000000000001,107.09876195999999,0.496,0.645,0.064,0.054000000000000006,0.16699999999999998
AGO002005,Caimbambo,Benguela,0.522,0.016,0.011000000000000001,0.758,0.209,0.17,0.978,0.063,0.9390000000000001,0.9390000000000001,0.91,0.884,0.885,0.706,0.79,0.10400000000000001,0.588,0.14800000000000002,0.005,0.011000000000000001,0.011000000000000001,0.522,0.066,0.077,0.005,0.016,0.8079999999999999,0.8190000000000001,0.951,0.852,0.5710000000000001,0.0,0.596,0.44,0.573,0.401,0.451,0.72,0.56,0.9009999999999999,0.489,0.9620000000000001,0.885,0.313,0.7140000000000001,131.39090729999998,0.5379999999999999,0.308,0.011000000000000001,0.027000000000000003,0.10400000000000001
AGO002006,Catumbela,Benguela,0.973,0.027000000000000003,0.0,0.73,0.568,0.027000000000000003,0.8590000000000001,0.225,0.809,0.769,0.8170000000000001,0.69,0.655,0.479,0.672,0.541,0.703,0.541,0.027000000000000003,0.0,0.0,0.45899999999999996,0.027000000000000003,0.27,0.054000000000000006,0.027000000000000003,0.43200000000000005,0.865,0.838,0.865,0.514,0.027000000000000003,0.353,0.21899999999999997,0.223,0.541,0.514,0.73,0.514,0.757,0.649,0.892,0.73,0.37799999999999995,0.784,30.5186934,0.568,0.10800000000000001,0.0,0.054000000000000006,0.162
AGO002007,Chongoroi,Benguela,0.49,0.0,0.0,0.706,0.196,0.157,0.975,0.042,0.9490000000000001,0.9640000000000001,0.9690000000000001,0.9470000000000001,0.9390000000000001,0.764,0.818,0.275,0.13699999999999998,0.098,0.0,0.0,0.02,0.706,0.196,0.196,0.0,0.0,0.863,0.961,1.0,0.98,0.588,0.02,0.765,0.478,0.725,0.647,0.51,0.6859999999999999,0.667,1.0,0.51,1.0,1.0,0.373,0.843,190.61391336,0.745,0.5489999999999999,0.0,0.02,0.255
AGO002008,Cubal,Benguela,0.259,0.011000000000000001,0.0,0.601,0.147,0.309,0.937,0.086,0.9109999999999999,0.895,0.889,0.883,0.858,0.654,0.764,0.061,0.608,0.198,0.006999999999999999,0.0,0.006999999999999999,0.309,0.09,0.061,0.006999999999999999,0.013999999999999999,0.8240000000000001,0.7340000000000001,0.759,0.8809999999999999,0.669,0.013999999999999999,0.74,0.509,0.6709999999999999,0.32,0.37799999999999995,0.532,0.525,0.6940000000000001,0.396,0.978,0.763,0.299,0.6509999999999999,178.31945136000002,0.59,0.5,0.025,0.032,0.076
AGO002009,Ganda,Benguela,0.462,0.057999999999999996,0.005,0.633,0.14300000000000002,0.32899999999999996,0.912,0.198,0.887,0.883,0.902,0.836,0.773,0.6809999999999999,0.772,0.005,0.327,0.161,0.005,0.01,0.008,0.332,0.32899999999999996,0.098,0.015,0.035,0.7609999999999999,0.809,0.8290000000000001,0.884,0.7090000000000001,0.0,0.636,0.46,0.579,0.29100000000000004,0.266,0.49200000000000005,0.638,0.754,0.304,0.932,0.867,0.359,0.8270000000000001,164.63364762,0.6509999999999999,0.7340000000000001,0.045,0.053,0.08
AGO002010,Lobito,Benguela,0.888,0.701,0.0,0.757,0.8220000000000001,0.019,0.9159999999999999,0.096,0.92,0.8909999999999999,0.9179999999999999,0.821,0.762,0.665,0.75,0.10300000000000001,0.168,0.121,0.0,0.09300000000000001,0.0,0.308,0.09300000000000001,0.131,0.055999999999999994,0.019,0.598,0.9159999999999999,0.9440000000000001,0.897,0.10300000000000001,0.0,0.648,0.11199999999999999,0.16,0.28,0.196,0.579,0.907,0.841,0.38299999999999995,0.935,0.897,0.20600000000000002,0.907,98.57479008,0.579,0.43,0.019,0.037000000000000005,0.28
