ADM2CD_c,NAM_1,NAM_2,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,traveltime__avg_minutes_to_market_financial,poverty_quintile
AGO002001,Benguela,Baia Farta,0.442,0.258,0.318,75.2991174,2
AGO002002,Benguela,Balombo,0.6940000000000001,0.44299999999999995,0.61,142.53532392000002,4
AGO002003,Benguela,Benguela,0.349,0.149,0.151,49.682191859999996,1
AGO002004,Benguela,Bocoio,0.652,0.457,0.599,107.09876195999999,4
AGO002005,Benguela,Caimbambo,0.596,0.44,0.573,131.39090729999998,2
AGO002006,Benguela,Catumbela,0.353,0.21899999999999997,0.223,30.5186934,1
AGO002007,Benguela,Chongoroi,0.765,0.478,0.725,190.61391336,5
AGO002008,Benguela,Cubal,0.74,0.509,0.6709999999999999,178.31945136000002,5
AGO002009,Benguela,Ganda,0.636,0.46,0.579,164.63364762,3
AGO002010,Benguela,Lobito,0.648,0.11199999999999999,0.16,98.57479008,3
