oi,dj,o_lon,o_lat,d_lon,d_lat
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
3,7,14.265992051752592,-12.33610684464549,14.342938605836135,-13.160256096190356
8,8,14.727623192863389,-13.120928769898912,14.727623192863389,-13.120928769898912
7,3,14.342938605836135,-13.160256096190356,14.265992051752592,-12.33610684464549
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
9,9,13.890717897535488,-12.078786506578632,13.890717897535488,-12.078786506578632
7,7,14.342938605836135,-13.160256096190356,14.342938605836135,-13.160256096190356
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
3,9,14.265992051752592,-12.33610684464549,13.890717897535488,-12.078786506578632
2,9,13.606808735984895,-12.750377863103141,13.890717897535488,-12.078786506578632
9,5,13.890717897535488,-12.078786506578632,13.678599224650833,-12.463079033059953
6,1,13.798691510857758,-13.595489187582498,14.778445268600095,-12.360912262514523
8,6,14.727623192863389,-13.120928769898912,13.798691510857758,-13.595489187582498
3,8,14.265992051752592,-12.33610684464549,14.727623192863389,-13.120928769898912
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
5,3,13.678599224650833,-12.463079033059953,14.265992051752592,-12.33610684464549
2,0,13.606808735984895,-12.750377863103141,13.10838398873688,-13.17018890078392
8,7,14.727623192863389,-13.120928769898912,14.342938605836135,-13.160256096190356
5,9,13.678599224650833,-12.463079033059953,13.890717897535488,-12.078786506578632
7,7,14.342938605836135,-13.160256096190356,14.342938605836135,-13.160256096190356
2,8,13.606808735984895,-12.750377863103141,14.727623192863389,-13.120928769898912
9,9,13.890717897535488,-12.078786506578632,13.890717897535488,-12.078786506578632
9,2,13.890717897535488,-12.078786506578632,13.606808735984895,-12.750377863103141
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
4,2,13.91861670284787,-13.102061760460922,13.606808735984895,-12.750377863103141
1,5,14.778445268600095,-12.360912262514523,13.678599224650833,-12.463079033059953
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
7,2,14.342938605836135,-13.160256096190356,13.606808735984895,-12.750377863103141
7,7,14.342938605836135,-13.160256096190356,14.342938605836135,-13.160256096190356
9,9,13.890717897535488,-12.078786506578632,13.890717897535488,-12.078786506578632
2,6,13.606808735984895,-12.750377863103141,13.798691510857758,-13.595489187582498
2,9,13.606808735984895,-12.750377863103141,13.890717897535488,-12.078786506578632
4,2,13.91861670284787,-13.102061760460922,13.606808735984895,-12.750377863103141
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
4,4,13.91861670284787,-13.102061760460922,13.91861670284787,-13.102061760460922
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
7,1,14.342938605836135,-13.160256096190356,14.778445268600095,-12.360912262514523
3,7,14.265992051752592,-12.33610684464549,14.342938605836135,-13.160256096190356
8,7,14.727623192863389,-13.120928769898912,14.342938605836135,-13.160256096190356
7,3,14.342938605836135,-13.160256096190356,14.265992051752592,-12.33610684464549
2,5,13.606808735984895,-12.750377863103141,13.678599224650833,-12.463079033059953
8,7,14.727623192863389,-13.120928769898912,14.342938605836135,-13.160256096190356
8,2,14.727623192863389,-13.120928769898912,13.606808735984895,-12.750377863103141
2,9,13.606808735984895,-12.750377863103141,13.890717897535488,-12.078786506578632
2,5,13.606808735984895,-12.750377863103141,13.678599224650833,-12.463079033059953
7,2,14.342938605836135,-13.160256096190356,13.606808735984895,-12.750377863103141
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
0,2,13.10838398873688,-13.17018890078392,13.606808735984895,-12.750377863103141
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
6,9,13.798691510857758,-13.595489187582498,13.890717897535488,-12.078786506578632
7,4,14.342938605836135,-13.160256096190356,13.91861670284787,-13.102061760460922
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
4,2,13.91861670284787,-13.102061760460922,13.606808735984895,-12.750377863103141
5,5,13.678599224650833,-12.463079033059953,13.678599224650833,-12.463079033059953
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
7,1,14.342938605836135,-13.160256096190356,14.778445268600095,-12.360912262514523
4,3,13.91861670284787,-13.102061760460922,14.265992051752592,-12.33610684464549
5,5,13.678599224650833,-12.463079033059953,13.678599224650833,-12.463079033059953
7,7,14.342938605836135,-13.160256096190356,14.342938605836135,-13.160256096190356
5,9,13.678599224650833,-12.463079033059953,13.890717897535488,-12.078786506578632
5,3,13.678599224650833,-12.463079033059953,14.265992051752592,-12.33610684464549
5,3,13.678599224650833,-12.463079033059953,14.265992051752592,-12.33610684464549
2,5,13.606808735984895,-12.750377863103141,13.678599224650833,-12.463079033059953
1,1,14.778445268600095,-12.360912262514523,14.778445268600095,-12.360912262514523
3,7,14.265992051752592,-12.33610684464549,14.342938605836135,-13.160256096190356
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
3,3,14.265992051752592,-12.33610684464549,14.265992051752592,-12.33610684464549
8,8,14.727623192863389,-13.120928769898912,14.727623192863389,-13.120928769898912
2,2,13.606808735984895,-12.750377863103141,13.606808735984895,-12.750377863103141
2,0,13.606808735984895,-12.750377863103141,13.10838398873688,-13.17018890078392
2,5,13.606808735984895,-12.750377863103141,13.678599224650833,-12.463079033059953
2,5,13.606808735984895,-12.750377863103141,13.678599224650833,-12.463079033059953
6,7,13.798691510857758,-13.595489187582498,14.342938605836135,-13.160256096190356
5,3,13.678599224650833,-12.463079033059953,14.265992051752592,-12.33610684464549
7,8,14.342938605836135,-13.160256096190356,14.727623192863389,-13.120928769898912
