ADM2CD_c,NAM_1,NAM_2,lon,lat,pop,rwi_z,mass,share_selected,selected,in_priority_mask
AGO002001,Benguela,Baia Farta,13.10838398873688,-13.17018890078392,144211.234375,-0.16290633,138338.00081750657,0.0,False,False
AGO002002,Benguela,Balombo,14.778445268600096,-12.360912262514525,160910.046875,-0.1808641,153634.33434621524,0.0,False,False
AGO002003,Benguela,Benguela,13.606808735984895,-12.75037786310314,824260.0625,-0.02984854,818109.3153042421,0.0,False,False
AGO002004,Benguela,Bocoio,14.265992051752592,-12.33610684464549,246558.0625,-0.24427463,231501.09347539395,0.0,False,False
AGO002005,Benguela,Caimbambo,13.91861670284787,-13.102061760460922,132300.5625,-0.26765522,123447.83129729705,0.0336581045172719,True,True
AGO002006,Benguela,Catumbela,13.678599224650831,-12.463079033059952,391884.46875,0.053232912,397099.7796004191,0.0,False,False
AGO002007,Benguela,Chongoroi,13.798691510857758,-13.595489187582498,128658.0390625,-0.25051966,120600.19403665328,0.0,False,False
AGO002008,Benguela,Cubal,14.342938605836135,-13.160256096190356,451608.15625,-0.24876796,423521.75841757655,0.1134506599622878,True,True
AGO002009,Benguela,Ganda,14.727623192863389,-13.120928769898912,351592.34375,-0.20271286,333774.27889599465,0.0775401069518716,True,True
AGO002010,Benguela,Lobito,13.890717897535488,-12.078786506578632,439822.1875,-0.20362599,417432.3883905448,0.0,False,False
