ADM2CD_c,NAM_1,NAM_2,score,rank,selected,share_selected,selected_cells,selected_km2,total_cells,total_km2,top10_cells,top10_km2
AGO002006,Benguela,Catumbela,0.6897140225027777,1,True,0.46496815286624205,73,61.34635497248271,157,131.93675518494183,73,61.34635497248271
AGO002003,Benguela,Benguela,0.6320898062188687,2,True,0.1992619926199262,54,45.3506062754102,271,227.5381049465405,54,45.3506062754102
AGO002001,Benguela,Baia Farta,0.6110938825525599,3,False,0.0,0,0.0,321,269.2660648364452,0,0.0
AGO002005,Benguela,Caimbambo,0.6089328460704562,4,True,0.03915426781519186,50,41.91725072945912,1277,1070.2545715695778,50,41.91725072945912
AGO002008,Benguela,Cubal,0.5922387686084936,5,True,0.1588235294117647,594,497.818447168519,3740,3133.831246681808,594,497.818447168519
AGO002009,Benguela,Ganda,0.546119532842477,6,True,0.04324140279196459,127,106.48675110763575,2937,2461.161841933137,127,106.48675110763575
AGO002002,Benguela,Balombo,0.49169557268899294,7,False,0.0,0,0.0,1142,959.9141948620338,0,0.0
AGO002010,Benguela,Lobito,0.4901616361811588,8,True,0.01927437641723356,17,14.290202195244769,882,742.204192304355,17,14.290202195244769
AGO002004,Benguela,Bocoio,0.48901508495110235,9,False,0.0,0,0.0,3087,2595.3399663689543,0,0.0
AGO002007,Benguela,Chongoroi,0.47821331235895054,10,False,0.0,0,0.0,1112,930.0040095149009,0,0.0
