ADM2CD_c,NAM_1,NAM_2,area_km2,pop_total,pop_le60min,pop_le120min,pop_gt120min,cropland_km2,pct_electrified,pct_rural,rural_pop_est,pct_priority,poverty_rural,food_insec_scale,avg_minutes_to_market_financial,rwi_mean,tt_health_mean,tt_edu_mean,building_density_mean,dre_demand_total,drought_events_mean,gsl_median_mean,score
AGO002008,Benguela,Cubal,4364.91152118496,449062.8599413537,228159.17188618466,363473.03426913783,85589.82567221584,2404.900631927415,0.007870992512958341,0.2894989441351507,130003.22380333295,0.11288155116145134,0.74,0.764,178.31945136000002,-0.49885339062199463,70.11789487488782,37.40396549684733,0.0010357309841844725,23574.19958829906,19.46648608907894,254.99193168206062,0.6547830705122769
AGO002007,Benguela,Chongoroi,6191.396566791934,129546.44609961628,0.0,43894.61580902726,85651.83029058902,986.0767259179146,0.0,0.04458254525803837,5775.510296254171,0.0,0.765,0.818,190.61391336,-0.5047515984730896,118.34946688382809,101.15772134727693,0.00021579982771426697,6568.499937534403,16.396471952998198,248.55408723639556,0.6264310707357428
AGO002009,Benguela,Ganda,4950.596627813593,359332.2398173488,173795.62063503236,261259.14838007194,98073.09143727683,2250.295462821829,0.007787370915862536,0.18317250719485356,65819.78728328616,0.0228542407313357,0.636,0.772,164.63364762,-0.40454312258384306,109.12915411227583,50.21558118511838,0.0008761355133387799,29156.300375462222,21.035944590558994,268.95417220108993,0.6251580999332244
AGO002002,Benguela,Balombo,2677.3745315679266,159378.66830635007,0.0,9088.612672537696,150290.0556338124,1058.6990238250478,0.00565149136577708,0.1130298273155416,18014.54335644773,0.0,0.6940000000000001,0.71,142.53532392000002,-0.36253696965265225,82.67571356316446,63.20997819769589,0.0006755194184161645,15205.600214004806,27.351701941175705,271.31695987494805,0.5564680836443338
AGO002004,Benguela,Bocoio,5702.487362010172,246050.4758616605,1936.6849102973938,122027.54110501001,124022.93475665049,2171.6860770668895,0.003390830016217013,0.13813946631284094,33989.28142155033,0.0,0.652,0.7020000000000001,107.09876196,-0.4891791817194555,61.02816000817736,44.550281594394754,0.000478535525554405,22234.299847126502,25.307722937074175,261.69341607656895,0.527012405403996
AGO002010,Benguela,Lobito,2910.7618632083695,494247.154658905,457020.30231168855,480515.2449579612,13731.909700943797,268.0233151819625,0.035270309337958945,0.11650766117374964,57583.580031089536,0.006360219716681122,0.648,0.75,98.57479008,-0.3974724822852716,60.463135305392996,54.50106177407901,0.0030014305456512467,68400.3015556337,21.986624713938347,234.61618901234047,0.49913144876998
AGO002005,Benguela,Caimbambo,3397.1098317659994,128586.03679903815,64184.94680818916,113070.83328478129,15515.203514256864,963.7499949239258,0.00616827041697508,0.1004194423883543,12912.538114287818,0.011843079200592153,0.596,0.79,131.39090729999998,-0.5335796411777465,37.22235577467663,27.002177631210873,0.0003404196178521432,7430.899945259201,17.83745273789623,240.8762625151436,0.42466496853044455
AGO002003,Benguela,Benguela,2268.7721992146526,818613.0553071526,806931.6963996022,811714.0730862614,6898.982220891165,122.15450387503127,0.08953015168331484,0.06733259341472438,55119.34001698178,0.01997780244173141,0.349,0.6659999999999999,49.68219186,-0.034542615877412565,70.80914214003126,61.830947711624376,0.006693741337482586,88423.99822044375,19.16691480988271,205.44328878217243,0.3460166825413121
AGO002001,Benguela,Baia Farta,6928.841955159851,146711.4072374021,87652.65595877539,139061.06692200032,7650.340315401787,175.27265356525618,0.008828153343814246,0.02261458459305841,3317.817529736872,0.0,0.442,0.6729999999999999,75.2991174,-0.31259597247972176,99.99894223354049,99.20119782281269,0.0004479347394057391,16493.399931908432,19.14058593161929,165.5307840659619,0.3363239280128072
AGO002006,Benguela,Catumbela,773.0473943680526,340276.8377578684,337701.30098778644,339550.3980384418,726.4397194266203,64.58907147993635,0.14347826086956522,0.13152173913043477,44753.80148771965,0.07608695652173914,0.353,0.672,30.5186934,0.09118066703755047,27.155867452384364,23.92031898314123,0.006545411769053297,5643.099951267545,18.15688425442988,201.72035735024585,0.16946357903272083
