site_id,lon,lat,dist_km_nearest_gov,dist_km_nearest_wb,dist_km_nearest_oth,count_gov_le5km,count_wb_le5km,count_oth_le5km,count_gov_le10km,count_wb_le10km,count_oth_le10km,count_gov_le30km,count_wb_le30km,count_oth_le30km
1,13.50298,-12.43024,,,,0,25,0,0,25,0,0,25,0
2,13.92658,-11.99189,,,,0,25,0,0,25,0,0,25,0
3,13.92658,-11.98361,,,,0,25,0,0,25,0,0,25,0
4,13.93564,-11.97778,,,,0,25,0,0,25,0,0,25,0
5,13.96986,-11.97678,,,,0,25,0,0,25,0,0,25,0
6,13.96986,-11.97169,,,,0,25,0,0,25,0,0,25,0
7,13.97575,-11.94578,,,,0,25,0,0,25,0,0,25,0
8,13.95425,-12.04464,,,,0,25,0,0,25,0,0,25,0
9,13.95228,-12.04692,,,,0,25,0,0,25,0,0,25,0
10,13.94531,-12.08803,,,,0,25,0,0,25,0,0,25,0
11,13.91878,-12.01581,,,,0,25,0,0,25,0,0,25,0
12,13.92406,-12.01369,,,,0,25,0,0,25,0,0,25,0
13,13.92233,-12.10586,,,,0,25,0,0,25,0,0,25,0
14,13.85897,-11.81067,,,,0,25,0,0,25,0,0,25,0
15,13.91003,-12.15422,,,,0,25,0,0,25,0,0,25,0
16,14.06217,-11.86806,,,,0,25,0,0,25,0,0,25,0
17,14.02297,-12.11764,,,,0,25,0,0,25,0,0,25,0
18,14.63861,-12.08,,,,0,25,0,0,25,0,0,25,0
19,13.8477,-12.30325,,,,0,25,0,0,25,0,0,25,0
20,14.8,-12.9167,,,,0,25,0,0,25,0,0,25,0
21,14.76824,-12.35452,,,,0,25,0,0,25,0,0,25,0
22,14.00277,-13.02198,,,,0,25,0,0,25,0,0,25,0
23,-inf,-inf,,,,0,25,0,0,25,0,0,25,0
24,13.48618,-12.60254,,,,0,25,0,0,25,0,0,25,0
25,14.25963,-13.04825,,,,0,25,0,0,25,0,0,25,0
26,14.25974,-13.04839,,,,0,25,0,0,25,0,0,25,0
