Province (AOI),site_index,no,project,muni,Net New Pop (60 min),Total Catchment (60 min),% Marginal
benguela,21,6,Requalificação da rede de distribuição eléctrica na sede do Município,Balombo,175871,175871,100.0
benguela,19,4,Construção de um dique que vai alimentar as valas de irrigação do Culango numa extensão de 8 km de valas,Lobito,81866,961440,8.5
benguela,26,10,"Construção de ponte sobre o rio Cubal da Ganda Cassiva, numa extensão de 5 metros de",Cubal,39384,393440,10.0
benguela,25,10,"Construção de ponte sobre o rio Cubal da Ganda Cassiva, numa extensão de 5 metros de",Cubal,39384,393440,10.0
benguela,13,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,38440,134638,28.6
benguela,9,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,37688,57246,65.8
benguela,8,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,37688,57246,65.8
benguela,22,7,Requalificação da rede eléctrica na sede do Município do Caimbambo,Caimbambo,36238,240769,15.1
benguela,15,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,35615,167291,21.3
benguela,10,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,35381,58306,60.7
benguela,5,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,30775,41095,74.9
benguela,11,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,30590,42847,71.4
benguela,12,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,30590,42847,71.4
benguela,6,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,30336,39851,76.1
benguela,2,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,29901,40200,74.4
benguela,3,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,28984,38186,75.9
benguela,7,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,27091,32922,82.3
benguela,4,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,25859,30026,86.1
benguela,16,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,24779,24847,99.7
benguela,20,5,Requalificação da rede de distribuição eléctrica na sede do Município,Babaera,21195,166425,12.7
benguela,18,3,"Reabilitação e ampliação de um dique de irrigação e criação de perímetros irrigados, numa extensão de 10 km na localidade das plantações da Ganda, sede municipal",Ganda,8793,8793,100.0
benguela,17,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,539,539,100.0
benguela,1,1,Intervenção nas valas de irrigação do perímetro agrário da Catumbela,Catumbela,93,1643762,0.0
benguela,24,9,Reabilitação da via de acesso ao bairro Capilongo,Benguela,76,1654574,0.0
benguela,14,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Egito Praia,38,38,100.0
