Province (AOI),Rank,Longitude,Latitude,Flow Load (gravity-weighted trips)
benguela,1,13.7042,-12.5208,61365
benguela,2,14.7208,-13.1208,60264
benguela,3,13.6458,-12.6458,53130
benguela,4,13.6708,-12.6042,53130
benguela,5,13.6458,-12.6625,53130
benguela,6,13.8042,-12.2708,53130
benguela,7,13.7958,-12.2958,53130
benguela,8,13.8208,-12.8708,45650
benguela,9,13.9625,-12.9542,45650
benguela,10,13.9875,-12.9625,45650
benguela,11,13.9542,-12.9458,45650
benguela,12,14.1708,-13.0625,45650
benguela,13,13.7708,-12.2958,41827
benguela,14,14.6125,-13.1375,39421
benguela,15,14.6042,-13.1375,39421
benguela,16,14.7125,-13.1208,39421
benguela,17,14.4458,-13.1542,39421
benguela,18,14.2292,-12.3625,27623
benguela,19,13.9958,-12.5042,27623
benguela,20,13.9792,-12.5208,27623
