theme,var,r,p,n
poverty,poverty_urban,0.8783899087224889,0.0018299267850438567,9
poverty,poverty_total,0.7920443584933439,0.010944687034297266,9
outflow,none,0.7866783698517454,0.011898135975232472,9
traveltime,avg_minutes_to_market_financial,0.7023744408717891,0.034878382381674886,9
infra,banking,0.6576479026643877,0.054208946514510054,9
waterresources,wells,0.44724677429876203,0.22741412833952662,9
outflow,lack_transport_means,0.4353963996214647,0.24146052113079777,9
infra,mech_agri_equip,0.3914428539118715,0.2974930484504556,9
outflow,difficult_access_to_village,0.3775584005076378,0.3164536015734514,9
productions,diff_access_credit,0.3446538110609373,0.3637171592493276,9
infra,veterinarians,0.33004610170083915,0.38571712856468543,9
productions,diff_dispose_products,0.310961696381133,0.4153655287042595,9
waterresources,lagoons,0.2873881020449726,0.45335035501078175,9
infra,agri_schools,0.2415431336975026,0.5312326008224628,9
communications,none,0.21040826092137221,0.5868602668012138,9
foodinsecurity,without_food_all_day,0.2000400283485899,0.6058276421447495,9
outflow,high_transport_cost,0.18677503026589706,0.630393391975788,9
foodinsecurity,unable_eat_healthy,0.1571827854630742,0.6863094853105006,9
foodinsecurity,ran_out_of_food,0.14938940633261227,0.7012696044893522,9
infra,health_units,0.13659845729504871,0.7260146501028929,9
waterresources,streams,0.1285690377196237,0.7416624518737729,9
waterresources,rivers,0.11163973850111866,0.7749183019199015,9
productions,lack_rain,0.0955534808720457,0.8068150820570286,9
outflow,other,0.08081557648900589,0.8362572818118893,9
waterresources,lakes,0.06365675148210662,0.8707566400139398,9
infra,electricity,0.06161904772832154,0.8748672143105681,9
foodinsecurity,few_types_of_food,0.06022825688872102,0.8776742913632368,9
communications,newspaper,0.05994609499014205,0.8782439325109902,9
foodinsecurity,food_insec_scale,0.052306793926881645,0.8936841288950694,9
productions,lack_manpower,0.04607858808238906,0.9062954036216886,9
foodinsecurity,hungry_did_not_eat,0.019942724083377265,0.9593864785720861,9
foodinsecurity,skipped_meal,-0.0013792378507325896,0.9971902441771243,9
infra,primary_schools,-0.022934601089916275,0.9532984891173041,9
outflow,lack_conservation_infra,-0.023990105673214173,0.9511511913069404,9
foodinsecurity,ate_less_than_needed,-0.05712520206933818,0.8839414990867186,9
communications,telephone,-0.09922815296865992,0.7995053717069852,9
outflow,insufficient_transport,-0.10727591978952715,0.7835442798742055,9
communications,television,-0.1221097263228548,0.7543104093611225,9
communications,internet,-0.12660244680026178,0.745507702208931,9
productions,diff_access_water,-0.16217611559060577,0.6767732795783149,9
productions,lack_agri_equipment,-0.20392416464201102,0.5986974718098532,9
communications,radio,-0.21306806164216707,0.5820288239889704,9
infra,water_storage,-0.28827605674910095,0.45189313551744126,9
productions,diff_access_land,-0.3289250330184134,0.3874306582573315,9
foodinsecurity,went_without_food,-0.3333360042713905,0.38070912835096227,9
productions,lack_tech_assist,-0.3464152572122491,0.36110588044997477,9
productions,unavailable_agri_land,-0.3557581053235385,0.3474071937485328,9
infra,agri_stock,-0.3956840257661416,0.291820275462107,9
productions,rural_exodus,-0.44101209258529284,0.23474731488133302,9
infra,field_schools,-0.5281542859373823,0.14384070073248142,9
