oi,dj,o_lon,o_lat,d_lon,d_lat
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
5,2,18.448625016289068,-11.811851774506177,17.250693976682363,-12.146990355541627
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
0,2,16.458386689986984,-11.273607567459559,17.250693976682363,-12.146990355541627
8,7,17.153876543581397,-11.307673252012446,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
0,7,16.458386689986984,-11.273607567459559,17.015701978499777,-12.538070914866069
6,0,16.797541199514377,-11.995414229019707,16.458386689986984,-11.273607567459559
3,7,16.56603657812849,-12.568543921784578,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,6,17.015701978499777,-12.538070914866069,16.797541199514377,-11.995414229019707
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
5,5,18.448625016289068,-11.811851774506177,18.448625016289068,-11.811851774506177
1,7,17.77727871830321,-12.450776677556012,17.015701978499777,-12.538070914866069
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
0,0,16.458386689986984,-11.273607567459559,16.458386689986984,-11.273607567459559
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,6,17.015701978499777,-12.538070914866069,16.797541199514377,-11.995414229019707
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
3,3,16.56603657812849,-12.568543921784578,16.56603657812849,-12.568543921784578
8,7,17.153876543581397,-11.307673252012446,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
1,4,17.77727871830321,-12.450776677556012,17.22249112086603,-13.47515749230372
6,3,16.797541199514377,-11.995414229019707,16.56603657812849,-12.568543921784578
0,0,16.458386689986984,-11.273607567459559,16.458386689986984,-11.273607567459559
1,1,17.77727871830321,-12.450776677556012,17.77727871830321,-12.450776677556012
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
8,6,17.153876543581397,-11.307673252012446,16.797541199514377,-11.995414229019707
3,0,16.56603657812849,-12.568543921784578,16.458386689986984,-11.273607567459559
3,7,16.56603657812849,-12.568543921784578,17.015701978499777,-12.538070914866069
6,3,16.797541199514377,-11.995414229019707,16.56603657812849,-12.568543921784578
1,3,17.77727871830321,-12.450776677556012,16.56603657812849,-12.568543921784578
0,8,16.458386689986984,-11.273607567459559,17.153876543581397,-11.307673252012446
6,6,16.797541199514377,-11.995414229019707,16.797541199514377,-11.995414229019707
1,7,17.77727871830321,-12.450776677556012,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
5,1,18.448625016289068,-11.811851774506177,17.77727871830321,-12.450776677556012
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
2,7,17.250693976682363,-12.146990355541627,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
3,7,16.56603657812849,-12.568543921784578,17.015701978499777,-12.538070914866069
2,7,17.250693976682363,-12.146990355541627,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
0,8,16.458386689986984,-11.273607567459559,17.153876543581397,-11.307673252012446
1,6,17.77727871830321,-12.450776677556012,16.797541199514377,-11.995414229019707
0,0,16.458386689986984,-11.273607567459559,16.458386689986984,-11.273607567459559
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
6,2,16.797541199514377,-11.995414229019707,17.250693976682363,-12.146990355541627
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
0,8,16.458386689986984,-11.273607567459559,17.153876543581397,-11.307673252012446
0,7,16.458386689986984,-11.273607567459559,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
6,6,16.797541199514377,-11.995414229019707,16.797541199514377,-11.995414229019707
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,6,17.015701978499777,-12.538070914866069,16.797541199514377,-11.995414229019707
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
2,7,17.250693976682363,-12.146990355541627,17.015701978499777,-12.538070914866069
0,0,16.458386689986984,-11.273607567459559,16.458386689986984,-11.273607567459559
5,1,18.448625016289068,-11.811851774506177,17.77727871830321,-12.450776677556012
1,7,17.77727871830321,-12.450776677556012,17.015701978499777,-12.538070914866069
3,8,16.56603657812849,-12.568543921784578,17.153876543581397,-11.307673252012446
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
2,0,17.250693976682363,-12.146990355541627,16.458386689986984,-11.273607567459559
0,0,16.458386689986984,-11.273607567459559,16.458386689986984,-11.273607567459559
2,6,17.250693976682363,-12.146990355541627,16.797541199514377,-11.995414229019707
2,7,17.250693976682363,-12.146990355541627,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,2,17.015701978499777,-12.538070914866069,17.250693976682363,-12.146990355541627
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
7,7,17.015701978499777,-12.538070914866069,17.015701978499777,-12.538070914866069
