oi,dj,flow,dist_km
AGO003001,AGO003001,89855.63871112742,0.0
AGO003001,AGO003002,2957.766288089223,194.24585529148294
AGO003001,AGO003003,6319.022690141493,129.89732674515193
AGO003001,AGO003004,5101.687619752148,144.46606119948606
AGO003001,AGO003005,565.0171986441002,258.4845798259247
AGO003001,AGO003006,677.3264472748201,224.93614038380844
AGO003001,AGO003007,7131.118739145896,88.35293281709976
AGO003001,AGO003008,15972.241753968268,153.11988724381274
AGO003001,AGO003009,14074.264716199841,75.93287910096265
AGO003002,AGO003001,2957.766288089223,194.24585529148294
AGO003002,AGO003002,33050.60899668446,0.0
AGO003002,AGO003003,9928.128591033039,66.43801811934796
AGO003002,AGO003004,3722.6081391916177,132.137039049276
AGO003002,AGO003005,2397.2833366374216,128.7967498826376
AGO003002,AGO003006,2602.7534785380826,101.8525385131646
AGO003002,AGO003007,2776.525677024738,117.89863619146335
AGO003002,AGO003008,27629.41037149117,83.24584316863489
AGO003002,AGO003009,3071.389262801248,144.07526287674818
AGO003003,AGO003001,6319.022690141493,129.89732674515193
AGO003003,AGO003002,9928.128591033039,66.43801811934796
AGO003003,AGO003003,21885.942840139243,0.0
AGO003003,AGO003004,5881.319225499224,87.90675370242121
AGO003003,AGO003005,1468.7770350057324,147.71730501039826
AGO003003,AGO003006,1278.0754190200407,135.52699362254268
AGO003003,AGO003007,6064.344619991371,52.077048975193875
AGO003003,AGO003008,36785.497433750395,50.42446995799648
AGO003003,AGO003009,5303.365664040906,93.92130402283651
AGO003004,AGO003001,5101.687619752148,144.46606119948606
AGO003004,AGO003002,3722.6081391916177,132.137039049276
AGO003004,AGO003003,5881.319225499224,87.90675370242121
AGO003004,AGO003004,22085.477138072925,0.0
AGO003004,AGO003005,2125.829477166185,123.37103075848478
AGO003004,AGO003006,354.95716832039415,221.237084690061
AGO003004,AGO003007,4760.819724967716,68.51334642392167
AGO003004,AGO003008,37794.638076283394,48.92275544950445
AGO003004,AGO003009,2160.2459088351247,154.0984664988291
AGO003005,AGO003001,565.0171986441002,258.4845798259247
AGO003005,AGO003002,2397.2833366374216,128.7967498826376
AGO003005,AGO003003,1468.7770350057324,147.71730501039826
AGO003005,AGO003004,2125.829477166185,123.37103075848478
AGO003005,AGO003005,8285.73043163392,0.0
AGO003005,AGO003006,196.96121914080837,227.82358853811098
AGO003005,AGO003007,628.029071655837,170.87307749279094
AGO003005,AGO003008,9748.42175106726,106.58069697332391
AGO003005,AGO003009,358.64408225021657,241.12874242301285
AGO003006,AGO003001,677.3264472748201,224.93614038380844
AGO003006,AGO003002,2602.7534785380826,101.8525385131646
AGO003006,AGO003003,1278.0754190200407,135.52699362254268
AGO003006,AGO003004,354.95716832039415,221.237084690061
AGO003006,AGO003005,196.96121914080837,227.82358853811098
AGO003006,AGO003006,4352.176185157336,0.0
AGO003006,AGO003007,392.1932112361764,180.7999071484095
AGO003006,AGO003008,2515.0973877369115,175.43832802813498
AGO003006,AGO003009,992.8749307196172,151.78183364648842
AGO003007,AGO003001,7131.118739145896,88.35293281709976
AGO003007,AGO003002,2776.525677024738,117.89863619146335
AGO003007,AGO003003,6064.344619991371,52.077048975193875
AGO003007,AGO003004,4760.819724967716,68.51334642392167
AGO003007,AGO003005,628.029071655837,170.87307749279094
AGO003007,AGO003006,392.1932112361764,180.7999071484095
AGO003007,AGO003007,8015.040766861744,0.0
AGO003007,AGO003008,17935.11993189709,64.82983919641886
AGO003007,AGO003009,3627.555853073001,85.75598453762751
AGO003008,AGO003001,15972.241753968268,153.11988724381274
AGO003008,AGO003002,27629.41037149117,83.24584316863489
AGO003008,AGO003003,36785.497433750395,50.42446995799648
AGO003008,AGO003004,37794.638076283394,48.92275544950445
AGO003008,AGO003005,9748.42175106726,106.58069697332391
AGO003008,AGO003006,2515.0973877369115,175.43832802813498
AGO003008,AGO003007,17935.11993189709,64.82983919641886
AGO003008,AGO003008,280646.7888548193,0.0
AGO003008,AGO003009,9857.417522898464,137.63754430810343
AGO003009,AGO003001,14074.264716199841,75.93287910096265
AGO003009,AGO003002,3071.389262801248,144.07526287674818
AGO003009,AGO003003,5303.365664040906,93.92130402283651
AGO003009,AGO003004,2160.2459088351247,154.0984664988291
AGO003009,AGO003005,358.64408225021657,241.12874242301285
AGO003009,AGO003006,992.8749307196172,151.78183364648842
AGO003009,AGO003007,3627.555853073001,85.75598453762751
AGO003009,AGO003008,9857.417522898464,137.63754430810343
AGO003009,AGO003009,21509.138026525645,0.0
