Province (AOI),Rank,Longitude,Latitude,Flow Load (gravity-weighted trips)
bie,1,17.6708,-12.4625,62704
bie,2,17.5625,-12.4792,55259
bie,3,17.2375,-12.5125,55259
bie,4,16.5625,-11.4958,46207
bie,5,16.9458,-12.3708,35870
bie,6,16.5958,-11.5708,31944
bie,7,16.9042,-12.2958,31944
bie,8,16.9375,-12.3708,31944
bie,9,17.3125,-12.1792,19856
bie,10,17.4375,-12.2542,19856
bie,11,17.0708,-12.0208,19715
bie,12,17.0292,-12.3792,19715
bie,13,17.1125,-12.9708,19497
bie,14,16.7708,-11.9458,14262
bie,15,16.6625,-11.4875,12638
bie,16,17.2458,-12.1375,12638
bie,17,16.8792,-11.7292,12638
bie,18,16.6958,-11.5292,12638
bie,19,17.0375,-12.0708,12129
bie,20,17.1708,-12.1208,12129
