ADM2CD_c,NAM_2,poverty_rural,cum_pop_share,cum_benefit_share
AGO009003,Ekunha,0.6829999999999999,0.03947166824646734,0.0
AGO009008,Mungo,0.6729999999999999,0.0962882250887538,0.0
AGO009010,Tchindjenje,0.667,0.11153581394895079,0.0
AGO009009,Tchikala-tcholoanga,0.657,0.16616595513112054,0.0
AGO009006,Londuimbali,0.65,0.23392333924978195,0.0
AGO009005,Katchiungo,0.649,0.29340999237785875,0.0
AGO009011,Ukuma,0.6409999999999999,0.32195453500364657,0.0
AGO009002,Caala,0.635,0.4580805976008846,0.20462726489649258
AGO009007,Longonjo,0.616,0.5034429320370035,0.20462726489649258
AGO009001,Bailundo,0.608,0.647329920042817,0.20462726489649258
AGO009004,Huambo,0.509,1.0,1.0
