site_index,lon,lat,thresh_min,area_km2,pop,cropland_km2,rwi_mean,rwi_pop_weighted,mean_travel_min
1,15.5264,-12.8571,30,723.2167865198612,729103.0,366.5069408114366,-0.039388954639434814,0.7146039605140686,20.01896858215332
1,15.5264,-12.8571,60,2949.0700950476944,1367563.375,1320.536728177815,-0.21286065876483917,0.5029795169830322,39.732200622558594
1,15.5264,-12.8571,120,12779.736477904953,2034827.25,3844.095399396059,-0.3198760151863098,0.2960951030254364,81.79666137695312
1,15.5264,-12.8571,240,32221.539133874874,2861035.0,7872.578108028743,-0.3627030849456787,0.13549885153770447,137.61143493652344
2,15.59792,-12.80258,30,622.6253161220151,1039059.6875,300.40202036046594,0.07551652193069458,0.7072610855102539,21.06047821044922
2,15.59792,-12.80258,60,2676.683326337226,1355368.75,1186.0959414967683,-0.20000916719436646,0.5106291174888611,40.5201301574707
2,15.59792,-12.80258,120,12532.970408026107,2060697.25,3764.6217930473777,-0.3144420087337494,0.2952357828617096,83.1534652709961
2,15.59792,-12.80258,240,32744.897906561968,2882412.75,7977.443185527947,-0.36405032873153687,0.13207578659057617,138.8231658935547
3,16.2218,-12.6158,30,424.14841855356417,63717.359375,127.88379848668849,-0.2798243463039398,0.20968088507652283,20.905742645263672
3,16.2218,-12.6158,60,2010.7455515729916,187036.96875,570.0748691039294,-0.3278031051158905,-0.08153337985277176,41.210689544677734
3,16.2218,-12.6158,120,9299.342511769522,1788417.125,2503.225404164984,-0.28986212611198425,0.36236250400543213,82.96141815185547
3,16.2218,-12.6158,240,33135.58917744,2917118.0,7905.60268679872,-0.3668079972267151,0.1259412169456482,151.34689331054688
4,16.2347,-12.4255,30,266.39311992669525,45898.4453125,83.74430714807747,-0.284688800573349,0.199060320854187,21.189104080200195
4,16.2347,-12.4255,60,1500.842553428746,138067.21875,397.8116885197067,-0.3154048025608063,-0.03258441761136055,42.10557556152344
4,16.2347,-12.4255,120,8058.552869170579,1658870.5,2059.575206679643,-0.2866634130477905,0.40244099497795105,84.41555786132812
4,16.2347,-12.4255,240,31405.63656291723,2869705.5,7502.039760895652,-0.36347275972366333,0.13365064561367035,155.89988708496094
5,15.6567644,-12.722314,30,496.8804286583777,964026.375,200.2980379488386,0.09674135595560074,0.7305419445037842,20.839309692382812
5,15.6567644,-12.722314,60,2274.472369152615,1302686.25,937.2815994208655,-0.1806367039680481,0.5349843502044678,41.727012634277344
5,15.6567644,-12.722314,120,11327.280262972174,2021323.625,3453.972039571665,-0.30710944533348083,0.3027551472187042,83.95536041259766
5,15.6567644,-12.722314,240,32898.3112442542,2897378.0,8042.405404345994,-0.3652241826057434,0.12964807450771332,142.25924682617188
6,15.5992379,-12.7280638,30,418.00151632651387,596114.625,171.73904274028033,0.022283870726823807,0.8116222023963928,20.238798141479492
6,15.5992379,-12.7280638,60,2071.4372002169234,1280394.0,889.4808323452373,-0.17388372123241425,0.5452925562858582,41.8132209777832
6,15.5992379,-12.7280638,120,10143.204858486162,1928759.625,3160.2989984793735,-0.30446678400039673,0.3233455419540405,84.34488677978516
6,15.5992379,-12.7280638,240,31754.595735304745,2858665.5,7850.939518434276,-0.36247551441192627,0.135907843708992,144.84715270996094
7,15.7989893,-13.039864,30,260.72698826183046,18179.125,73.46394010547354,-0.32066112756729126,-0.22786115109920502,19.960203170776367
7,15.7989893,-13.039864,60,1376.7166892300577,857685.9375,441.89478074445407,-0.1495608389377594,0.7519875764846802,42.57288360595703
7,15.7989893,-13.039864,120,7508.415567333845,1651788.0,2438.972774320018,-0.2816910743713379,0.3973082900047302,85.95309448242188
7,15.7989893,-13.039864,240,29531.30343840763,2747009.25,7387.559611629029,-0.35664597153663635,0.1548760086297989,154.10263061523438
8,15.8237445,-12.8910687,30,444.63921866876444,670094.125,185.6863707371617,0.0003507416695356369,0.9018613696098328,20.921897888183594
8,15.8237445,-12.8910687,60,2021.1590437456334,1217687.75,761.9041929494806,-0.1661943793296814,0.5881104469299316,40.68534469604492
8,15.8237445,-12.8910687,120,10593.601129341205,1955339.25,3320.2680284967214,-0.3021022081375122,0.3105085492134094,84.25508117675781
8,15.8237445,-12.8910687,240,32319.610796915418,2867747.75,7887.3825826421535,-0.3633802831172943,0.1344243437051773,144.53929138183594
9,15.8320598,-12.8790299,30,422.8308636813043,575387.875,186.1684219923039,-0.028897274285554886,0.9132317900657654,21.25265884399414
9,15.8320598,-12.8790299,60,1976.7190292296968,1204342.125,741.9360796315623,-0.1653708517551422,0.5932353138923645,40.962528228759766
9,15.8320598,-12.8790299,120,10511.46255973823,1948392.0,3298.509588528138,-0.30100786685943604,0.31286492943763733,84.4962387084961
9,15.8320598,-12.8790299,240,32243.08100248626,2866085.0,7872.9083729646845,-0.3631449341773987,0.13465723395347595,144.92784118652344
