oi,dj,o_lon,o_lat,d_lon,d_lat
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
6,1,15.217077325114705,-13.083625998532664,15.567058497277916,-13.269916924541258
3,5,15.790140328791843,-12.818206672298729,15.285614325747993,-12.234807707722158
0,5,15.844726891241717,-11.948883921019121,15.285614325747993,-12.234807707722158
9,3,14.933737444762608,-12.817619060987274,15.790140328791843,-12.818206672298729
4,0,16.31504148629775,-12.75835688837401,15.844726891241717,-11.948883921019121
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,2,15.790140328791843,-12.818206672298729,15.48549332134371,-12.532883091090211
8,1,16.08794941220836,-12.95876235013724,15.567058497277916,-13.269916924541258
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
5,3,15.285614325747993,-12.234807707722158,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,6,15.567058497277916,-13.269916924541258,15.217077325114705,-13.083625998532664
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
0,3,15.844726891241717,-11.948883921019121,15.790140328791843,-12.818206672298729
5,3,15.285614325747993,-12.234807707722158,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,10,15.790140328791843,-12.818206672298729,15.144435535553969,-12.7438668380398
3,1,15.790140328791843,-12.818206672298729,15.567058497277916,-13.269916924541258
9,0,14.933737444762608,-12.817619060987274,15.844726891241717,-11.948883921019121
7,0,16.200648037646857,-11.753970211828747,15.844726891241717,-11.948883921019121
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
0,0,15.844726891241717,-11.948883921019121,15.844726891241717,-11.948883921019121
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
3,4,15.790140328791843,-12.818206672298729,16.31504148629775,-12.75835688837401
3,8,15.790140328791843,-12.818206672298729,16.08794941220836,-12.95876235013724
8,8,16.08794941220836,-12.95876235013724,16.08794941220836,-12.95876235013724
3,1,15.790140328791843,-12.818206672298729,15.567058497277916,-13.269916924541258
3,2,15.790140328791843,-12.818206672298729,15.48549332134371,-12.532883091090211
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,6,15.567058497277916,-13.269916924541258,15.217077325114705,-13.083625998532664
3,4,15.790140328791843,-12.818206672298729,16.31504148629775,-12.75835688837401
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
5,3,15.285614325747993,-12.234807707722158,15.790140328791843,-12.818206672298729
3,5,15.790140328791843,-12.818206672298729,15.285614325747993,-12.234807707722158
3,1,15.790140328791843,-12.818206672298729,15.567058497277916,-13.269916924541258
5,3,15.285614325747993,-12.234807707722158,15.790140328791843,-12.818206672298729
4,8,16.31504148629775,-12.75835688837401,16.08794941220836,-12.95876235013724
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
3,4,15.790140328791843,-12.818206672298729,16.31504148629775,-12.75835688837401
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
0,0,15.844726891241717,-11.948883921019121,15.844726891241717,-11.948883921019121
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,6,15.790140328791843,-12.818206672298729,15.217077325114705,-13.083625998532664
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
1,0,15.567058497277916,-13.269916924541258,15.844726891241717,-11.948883921019121
3,4,15.790140328791843,-12.818206672298729,16.31504148629775,-12.75835688837401
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
4,1,16.31504148629775,-12.75835688837401,15.567058497277916,-13.269916924541258
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
0,0,15.844726891241717,-11.948883921019121,15.844726891241717,-11.948883921019121
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
5,9,15.285614325747993,-12.234807707722158,14.933737444762608,-12.817619060987274
1,8,15.567058497277916,-13.269916924541258,16.08794941220836,-12.95876235013724
0,3,15.844726891241717,-11.948883921019121,15.790140328791843,-12.818206672298729
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
5,1,15.285614325747993,-12.234807707722158,15.567058497277916,-13.269916924541258
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
0,0,15.844726891241717,-11.948883921019121,15.844726891241717,-11.948883921019121
0,5,15.844726891241717,-11.948883921019121,15.285614325747993,-12.234807707722158
3,7,15.790140328791843,-12.818206672298729,16.200648037646857,-11.753970211828747
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,1,15.567058497277916,-13.269916924541258,15.567058497277916,-13.269916924541258
3,5,15.790140328791843,-12.818206672298729,15.285614325747993,-12.234807707722158
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,2,15.790140328791843,-12.818206672298729,15.48549332134371,-12.532883091090211
0,4,15.844726891241717,-11.948883921019121,16.31504148629775,-12.75835688837401
1,0,15.567058497277916,-13.269916924541258,15.844726891241717,-11.948883921019121
8,6,16.08794941220836,-12.95876235013724,15.217077325114705,-13.083625998532664
7,3,16.200648037646857,-11.753970211828747,15.790140328791843,-12.818206672298729
3,5,15.790140328791843,-12.818206672298729,15.285614325747993,-12.234807707722158
2,3,15.48549332134371,-12.532883091090211,15.790140328791843,-12.818206672298729
8,8,16.08794941220836,-12.95876235013724,16.08794941220836,-12.95876235013724
4,3,16.31504148629775,-12.75835688837401,15.790140328791843,-12.818206672298729
3,7,15.790140328791843,-12.818206672298729,16.200648037646857,-11.753970211828747
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
2,5,15.48549332134371,-12.532883091090211,15.285614325747993,-12.234807707722158
0,5,15.844726891241717,-11.948883921019121,15.285614325747993,-12.234807707722158
7,3,16.200648037646857,-11.753970211828747,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
3,0,15.790140328791843,-12.818206672298729,15.844726891241717,-11.948883921019121
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
1,3,15.567058497277916,-13.269916924541258,15.790140328791843,-12.818206672298729
6,0,15.217077325114705,-13.083625998532664,15.844726891241717,-11.948883921019121
4,0,16.31504148629775,-12.75835688837401,15.844726891241717,-11.948883921019121
3,7,15.790140328791843,-12.818206672298729,16.200648037646857,-11.753970211828747
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
3,3,15.790140328791843,-12.818206672298729,15.790140328791843,-12.818206672298729
