ADM2CD_c,NAM_1,NAM_2,score,rank,selected,share_selected,selected_cells,selected_km2,total_cells,total_km2,top10_cells,top10_km2
AGO009003,Huambo,Ekunha,0.7084809871820303,1,False,0.0,0,0.0,390,327.51543863048596,0,0.0
AGO009004,Huambo,Huambo,0.7032936944818552,2,True,0.03690888119953864,32,26.859895949667866,867,727.5988164879915,32,26.859895949667866
AGO009002,Huambo,Caala,0.6653190482447207,3,True,0.036427732079905996,31,26.000875168225456,851,713.2152489240365,31,26.000875168225456
AGO009001,Huambo,Bailundo,0.6187051945287763,4,False,0.0,0,0.0,262,220.42876686789674,0,0.0
AGO009005,Huambo,Katchiungo,0.6079826603251861,5,False,0.0,0,0.0,611,513.0883837899601,0,0.0
AGO009011,Huambo,Ukuma,0.6012480912056375,6,False,0.0,0,0.0,141,118.29752118943398,0,0.0
AGO009009,Huambo,Tchikala-tcholoanga,0.5937396839111545,7,False,0.0,0,0.0,299,250.7203854489167,0,0.0
AGO009008,Huambo,Mungo,0.544177299977949,8,False,0.0,0,0.0,149,125.53353429372545,0,0.0
AGO009007,Huambo,Longonjo,0.5424406701143738,9,False,0.0,0,0.0,359,300.84966872960973,0,0.0
AGO009006,Huambo,Londuimbali,0.5394972471948614,10,False,0.0,0,0.0,187,157.27084222366582,0,0.0
AGO009010,Huambo,Tchindjenje,0.4822108129791866,11,False,0.0,0,0.0,151,126.72294957434016,0,0.0
