ADM2CD_c,NAM_1,NAM_2,area_km2,pop_total,pop_le60min,pop_le120min,pop_gt120min,cropland_km2,pct_electrified,pct_rural,rural_pop_est,pct_priority,poverty_rural,food_insec_scale,avg_minutes_to_market_financial,rwi_mean,score
AGO009007,Huambo,Longonjo,2400.619379967436,135959.83332873363,21714.249700010267,65024.34474056743,70935.48858816619,837.3421805587932,0.004539106145251397,0.15328212290502793,20840.21188244206,0.0,0.616,0.73,286.18988958,-0.4376687793812795,0.6915485654506764
AGO009008,Huambo,Mungo,3124.048186079517,170290.3894742922,4051.7901616096497,118701.25639269747,51589.13308159473,572.6672108832997,0.004314994606256742,0.17664509169363538,30080.961463231226,0.0,0.6729999999999999,0.6920000000000001,182.18201652,-0.43375575433672764,0.6088798150294897
AGO009002,Huambo,Caala,4233.77988431695,407996.56835299125,246559.51485522135,320094.80064558244,87901.76770740881,1563.0416565688047,0.02433234421364985,0.13728981206726013,56013.77219326922,0.006132542037586548,0.635,0.6629999999999999,71.6504499,-0.3531120147158785,0.5952366959101275
AGO009006,Huambo,Londuimbali,2669.4200945340763,203082.19949608852,28991.091214821445,124450.33803544338,78631.86146064514,677.8377964540985,0.009136735979836169,0.1770636420919975,35958.47388683105,0.0,0.65,0.644,351.73291548,-0.3245363403605006,0.5308203075411982
AGO009011,Huambo,Ukuma,1782.8038284102095,85553.60534437014,0.0,59468.65505338418,26084.95029098596,443.71697456619273,0.007532956685499058,0.1271186440677966,10875.45830648773,0.0,0.6409999999999999,0.695,41.66050686,-0.4344000239994339,0.5036567677876561
AGO009009,Huambo,Tchikala-tcholoanga,4459.897648836427,163737.2719499853,40631.22949379636,116623.14859618418,47114.123353801115,930.0269935799796,0.001692365550959007,0.13181647235802935,21583.26958197437,0.0,0.657,0.631,89.5840062,-0.40965955917752706,0.4954546441269114
AGO009001,Huambo,Bailundo,7014.104141585783,431257.5873931951,186049.9307786632,327986.16148271656,103271.42591047852,1380.691669577757,0.006001680470531749,0.21113911895330692,91055.34704412796,0.0,0.608,0.626,105.83684904,-0.4016657080560992,0.4894611681072032
AGO009003,Huambo,Ekunha,1365.075342043552,118304.34881066752,76555.3422071114,110921.36176658518,7382.987044082343,430.9381753636113,0.006153846153846154,0.24123076923076922,28538.649066942566,0.0,0.6829999999999999,0.685,61.1633331,-0.36424082232348093,0.48766037336784157
AGO009005,Huambo,Katchiungo,2839.433680583557,178293.19291243865,4962.54172188046,114970.59046291873,63322.60244951992,671.7504954980719,0.008572273130357671,0.1658291457286432,29566.207869901886,0.0,0.649,0.63,91.71686832,-0.34634681121679023,0.4068530188890053
AGO009010,Huambo,Tchindjenje,1065.6731785716663,45700.0210828392,2209.7423821687858,25428.16753128337,20271.853551555832,188.8763246397227,0.011023622047244094,0.14724409448818898,6729.058222433804,0.0,0.667,0.627,124.77558246,-0.37824704244367185,0.39926209670716545
AGO009004,Huambo,Huambo,2918.420602436887,1057021.5551524016,1024134.5372685017,1055240.831941362,1780.7232110395562,830.7505510570348,0.08021851638872915,0.1894767107533065,200280.9674656218,0.009200690051753882,0.509,0.675,39.248919,-0.2236876079557082,0.2768935729149652
