ADM2CD_c,NAM_1,NAM_2,score,poverty_rural
AGO009003,Huambo,Ekunha,0.7084809871820303,0.6829999999999999
AGO009004,Huambo,Huambo,0.7032936944818552,0.509
AGO009002,Huambo,Caala,0.6653190482447207,0.635
AGO009001,Huambo,Bailundo,0.6187051945287763,0.608
AGO009005,Huambo,Katchiungo,0.6079826603251861,0.649
AGO009011,Huambo,Ukuma,0.6012480912056375,0.6409999999999999
AGO009009,Huambo,Tchikala-tcholoanga,0.5937396839111545,0.657
AGO009008,Huambo,Mungo,0.544177299977949,0.6729999999999999
AGO009007,Huambo,Longonjo,0.5424406701143738,0.616
AGO009006,Huambo,Londuimbali,0.5394972471948614,0.65
AGO009010,Huambo,Tchindjenje,0.4822108129791866,0.667
