site_id,x,y,lon,lat,row,col,travel_min,veg_index,ntl,drought_pct,cropland_cells_5km,cropland_km2_5km,electrified_cells_5km,electrified_share_5km,near_road_flag
1,15.5264,-12.8571,15.5264,-12.8571,170,88,6.0,0.4503852427005768,0.9888256192207336,10.0,81,42.59000015258789,38,0.4691358024691358,1
2,15.59792,-12.80258,15.59792,-12.80258,164,96,11.485280990600586,0.4552883505821228,2.275106906890869,,81,34.439998626708984,30,0.37037037037037035,1
3,16.2218,-12.6158,16.2218,-12.6158,141,171,79.8837661743164,0.4655279815196991,0.18285854160785675,,78,16.6200008392334,6,0.07407407407407407,1
4,16.2347,-12.4255,16.2347,-12.4255,119,173,92.81047058105469,0.5079160332679749,0.22660093009471893,,81,24.25,0,0.0,1
21,15.6567644,-12.722314,15.6567644,-12.722314,154,103,16.065181732177734,0.5083785057067871,0.32371553778648376,,81,24.510000228881836,6,0.07407407407407407,1
22,15.5992379,-12.7280638,15.5992379,-12.7280638,155,96,24.097414016723633,0.4201286733150482,0.3077523708343506,3.0,81,36.18000030517578,0,0.0,1
23,15.7989893,-13.039864,15.7989893,-13.039864,192,120,77.0282211303711,0.49242132902145386,0.19187705218791962,3.0,81,21.59000015258789,0,0.0,1
24,15.8237445,-12.8910687,15.8237445,-12.8910687,174,123,23.282339096069336,0.4171893000602722,0.24743323028087616,3.0,81,49.65999984741211,0,0.0,1
25,15.8320598,-12.8790299,15.8320598,-12.8790299,173,124,24.43528175354004,0.41602736711502075,0.28623780608177185,3.0,81,48.09000015258789,0,0.0,1
26,15.716523,-12.551236,15.716523,-12.551236,134,110,45.0992431640625,0.5443278551101685,0.2099609673023224,3.0,79,20.190000534057617,0,0.0,1
27,15.6568397,-12.7333288,15.6568397,-12.7333288,155,103,16.113100051879883,0.491206556558609,0.33139124512672424,3.0,81,27.510000228881836,11,0.13580246913580246,0
28,15.5840385,-12.7267313,15.5840385,-12.7267313,155,95,25.597414016723633,0.42472073435783386,0.30232858657836914,3.0,81,37.34000015258789,0,0.0,1
29,15.6568397,-12.7333288,15.6568397,-12.7333288,155,103,16.113100051879883,0.491206556558609,0.33139124512672424,3.0,81,27.510000228881836,11,0.13580246913580246,0
30,15.8062687,-13.0333223,15.8062687,-13.0333223,191,121,60.01008224487305,0.5021559596061707,0.1860169768333435,3.0,81,22.579999923706055,0,0.0,1
31,15.8456872,-12.8617312,15.8456872,-12.8617312,171,126,68.97871398925781,0.47423508763313293,0.33244964480400085,3.0,81,37.79999923706055,0,0.0,0
32,15.8279142,-12.8688398,15.8279142,-12.8688398,172,124,32.96775817871094,0.41483205556869507,0.3125561773777008,3.0,81,48.779998779296875,0,0.0,1
33,15.7184063,-12.5618831,15.7184063,-12.5618831,135,111,49.60503387451172,0.5113294124603271,0.20680281519889832,3.0,78,21.889999389648438,0,0.0,0
34,15.6746136,-12.5702552,15.6746136,-12.5702552,136,105,76.2740707397461,0.5966922640800476,0.2151830494403839,,78,14.630000114440918,0,0.0,0
35,15.7060396,-12.6057394,15.7060396,-12.6057394,140,109,36.91726303100586,0.5699052810668945,0.22853416204452515,,74,13.65999984741211,0,0.0,0
36,15.7649885,-12.6348741,15.7649885,-12.6348741,144,116,25.49264144897461,0.5379480719566345,0.25798603892326355,,81,22.219999313354492,0,0.0,1
38,15.3483709,-13.0238936,15.3483709,-13.0238936,190,66,100.98477172851562,0.5130605101585388,0.23332780599594116,,79,16.049999237060547,0,0.0,1
15,14.8426,-12.7721,14.8426,-12.7721,160,6,136.8085174560547,0.5526526570320129,0.2386983036994934,,62,7.059999942779541,0,0.0,1
16,14.872,-12.7327,14.872,-12.7327,155,9,83.4227066040039,0.6062750220298767,0.31368476152420044,,65,5.389999866485596,0,0.0,1
17,14.9495,-12.7329,14.9495,-12.7329,155,18,182.68809509277344,0.5993272662162781,0.21662861108779907,,75,7.539999961853027,0,0.0,1
18,14.9692,-12.83,14.9692,-12.83,167,21,73.51280212402344,0.49920859932899475,0.2663125693798065,,75,27.969999313354492,3,0.037037037037037035,1
19,14.9118,-12.8505,14.9118,-12.8505,170,14,90.24244689941406,0.548978865146637,0.2678133547306061,,72,22.18000030517578,9,0.1111111111111111,1
20,14.9099,-12.8615,14.9099,-12.8615,171,14,92.97679901123047,0.5465147495269775,0.26551952958106995,,66,18.8700008392334,6,0.07407407407407407,1
5,16.0475684,-12.5610345,16.0475684,-12.5610345,135,150,59.19137954711914,0.5610772967338562,0.21263748407363892,,76,14.180000305175781,0,0.0,1
