Province (AOI),Site ID,Site type,Population within 60 min,Cropland (km²) within 60 min,% of provincial population within 60 min of this site
Huambo,site_1,unknown,1367563,1320.54,45.63
Huambo,site_2,unknown,1355369,1186.1,45.22
Huambo,site_20,unknown,1338284,939.56,44.65
Huambo,site_5,unknown,1302686,937.28,43.46
Huambo,site_6,unknown,1280394,889.48,42.72
Huambo,site_10,unknown,1279382,743.51,42.69
Huambo,site_12,unknown,1273502,867.43,42.49
Huambo,site_11,unknown,1269161,819.31,42.34
Huambo,site_13,unknown,1269161,819.31,42.34
Huambo,site_8,unknown,1217688,761.9,40.63
