Province (AOI),Origin Admin2,Destination Admin2,Modelled flow (relative),Distance (km),Both in top priority mask?
Huambo,Caala,Huambo,97938.8,55.7,Yes
Huambo,Bailundo,Huambo,55540.2,96.8,No
Huambo,Huambo,Tchikala-tcholoanga,49511.4,35.9,No
Huambo,Huambo,Katchiungo,41293.9,57.3,No
Huambo,Ekunha,Huambo,33430.5,45.8,No
Huambo,Huambo,Londuimbali,31016.6,84.9,No
Huambo,Huambo,Longonjo,26294.1,68.8,No
Huambo,Bailundo,Mungo,18917.9,44.4,No
Huambo,Bailundo,Londuimbali,16082.6,68.6,No
Huambo,Huambo,Ukuma,15144.4,70.5,No
