site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,project,sector,muni
1,15.5264,-12.8571,30,24591.34375,729103.0,3.372821638369339,1,"Terraplanagem de 10 km de estrada da Aldeia de Cassoco a Aldeia de Cangongo, Município da  Caála",Roads,Caala
1,15.5264,-12.8571,60,68634.6171875,1367563.5,5.018751757231017,1,"Terraplanagem de 10 km de estrada da Aldeia de Cassoco a Aldeia de Cangongo, Município da  Caála",Roads,Caala
1,15.5264,-12.8571,120,124525.28125,2034827.125,6.119698313437806,1,"Terraplanagem de 10 km de estrada da Aldeia de Cassoco a Aldeia de Cangongo, Município da  Caála",Roads,Caala
1,15.5264,-12.8571,240,70186.265625,2861035.0,2.45317745588572,1,"Terraplanagem de 10 km de estrada da Aldeia de Cassoco a Aldeia de Cangongo, Município da  Caála",Roads,Caala
2,15.59792,-12.80258,30,3467.031982421875,1039059.625,0.333670166658807,2,Construção do sistema de abastecimento de água a partir do rio Kunhongâmwa para a Sede do Município da Caála,Water,Caala
2,15.59792,-12.80258,60,48528.83203125,1355368.875,3.580488893198909,2,Construção do sistema de abastecimento de água a partir do rio Kunhongâmwa para a Sede do Município da Caála,Water,Caala
2,15.59792,-12.80258,120,99659.0625,2060697.25,4.836181661328466,2,Construção do sistema de abastecimento de água a partir do rio Kunhongâmwa para a Sede do Município da Caála,Water,Caala
2,15.59792,-12.80258,240,69606.4375,2882413.0,2.4148669014468087,2,Construção do sistema de abastecimento de água a partir do rio Kunhongâmwa para a Sede do Município da Caála,Water,Caala
3,16.2218,-12.6158,30,63717.36328125,63717.36328125,100.0,3,Ponte 1 sobre Rio Kuvango - Sede do Município,Bridge,Katchiungo
3,16.2218,-12.6158,60,134938.328125,187036.96875,72.14527108026604,3,Ponte 1 sobre Rio Kuvango - Sede do Município,Bridge,Katchiungo
3,16.2218,-12.6158,120,75833.46875,1788417.0,4.240256536926231,3,Ponte 1 sobre Rio Kuvango - Sede do Município,Bridge,Katchiungo
3,16.2218,-12.6158,240,54824.65625,2917118.0,1.8794116744677447,3,Ponte 1 sobre Rio Kuvango - Sede do Município,Bridge,Katchiungo
4,16.2347,-12.4255,30,45898.4453125,45898.4453125,100.0,4,"Ponte 2 sobre, Rio Kuvango - Região do Chiumbo, Missão de Vavayela",Bridge,Katchiungo
4,16.2347,-12.4255,60,106291.7890625,138067.21875,76.98553648347465,4,"Ponte 2 sobre, Rio Kuvango - Região do Chiumbo, Missão de Vavayela",Bridge,Katchiungo
4,16.2347,-12.4255,120,84736.125,1658870.5,5.108061479181165,4,"Ponte 2 sobre, Rio Kuvango - Região do Chiumbo, Missão de Vavayela",Bridge,Katchiungo
4,16.2347,-12.4255,240,39986.859375,2869705.75,1.3934132227668288,4,"Ponte 2 sobre, Rio Kuvango - Região do Chiumbo, Missão de Vavayela",Bridge,Katchiungo
5,15.6567644,-12.722314,30,3721.179443359375,964026.3125,0.3860039290534795,21,"Projectos da Terraplanagem - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Roads,Huambo
5,15.6567644,-12.722314,60,3652.77685546875,1302686.25,0.2804034244983203,21,"Projectos da Terraplanagem - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Roads,Huambo
5,15.6567644,-12.722314,120,46003.9296875,2021323.75,2.2759307947329077,21,"Projectos da Terraplanagem - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Roads,Huambo
5,15.6567644,-12.722314,240,68376.984375,2897378.25,2.35996057383947,21,"Projectos da Terraplanagem - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Roads,Huambo
6,15.5992379,-12.7280638,30,11134.4697265625,596114.5625,1.8678405841767205,22,Projectos da Terraplanagem - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Roads,Huambo
6,15.5992379,-12.7280638,60,4289.095703125,1280394.0,0.3349824900089347,22,Projectos da Terraplanagem - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Roads,Huambo
6,15.5992379,-12.7280638,120,36936.40625,1928759.5,1.9150343135056496,22,Projectos da Terraplanagem - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Roads,Huambo
6,15.5992379,-12.7280638,240,67187.640625,2858665.5,2.3503148803174065,22,Projectos da Terraplanagem - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Roads,Huambo
7,15.7989893,-13.039864,30,17056.958984375,18179.125,93.82717256399854,23,Projectos da Terraplanagem - Cooperativa Chongolola/ Aldeia de Chilembo,Roads,Huambo
7,15.7989893,-13.039864,60,31283.7734375,857685.8125,3.647463089812972,23,Projectos da Terraplanagem - Cooperativa Chongolola/ Aldeia de Chilembo,Roads,Huambo
7,15.7989893,-13.039864,120,62056.75390625,1651788.0,3.7569442268771778,23,Projectos da Terraplanagem - Cooperativa Chongolola/ Aldeia de Chilembo,Roads,Huambo
7,15.7989893,-13.039864,240,58752.25,2747009.5,2.138771271085884,23,Projectos da Terraplanagem - Cooperativa Chongolola/ Aldeia de Chilembo,Roads,Huambo
8,15.8237445,-12.8910687,30,13679.435546875,670094.125,2.041420008998736,24,Projectos da Terraplanagem - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Roads,Huambo
8,15.8237445,-12.8910687,60,17931.58984375,1217687.75,1.472593433230317,24,Projectos da Terraplanagem - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Roads,Huambo
8,15.8237445,-12.8910687,120,38463.15234375,1955339.25,1.9670833255022115,24,Projectos da Terraplanagem - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Roads,Huambo
8,15.8237445,-12.8910687,240,64115.3671875,2867747.75,2.2357394295750037,24,Projectos da Terraplanagem - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Roads,Huambo
9,15.8320598,-12.8790299,30,13392.8095703125,575387.875,2.327614145555726,25,Projectos da Terraplanagem - Cooperativa Tuapokola/ Aldeia de Silanjala,Roads,Huambo
9,15.8320598,-12.8790299,60,17183.95703125,1204342.125,1.426833511386974,25,Projectos da Terraplanagem - Cooperativa Tuapokola/ Aldeia de Silanjala,Roads,Huambo
9,15.8320598,-12.8790299,120,35712.125,1948392.125,1.832902347621632,25,Projectos da Terraplanagem - Cooperativa Tuapokola/ Aldeia de Silanjala,Roads,Huambo
9,15.8320598,-12.8790299,240,63562.5234375,2866085.0,2.2177473256201403,25,Projectos da Terraplanagem - Cooperativa Tuapokola/ Aldeia de Silanjala,Roads,Huambo
10,15.716523,-12.551236,30,52361.8984375,123494.96875,42.40002565894005,26,Projectos da Terraplanagem - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Roads,Huambo
10,15.716523,-12.551236,60,43783.421875,1279382.25,3.4222314617073977,26,Projectos da Terraplanagem - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Roads,Huambo
10,15.716523,-12.551236,120,54980.984375,2055511.5,2.674807918856207,26,Projectos da Terraplanagem - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Roads,Huambo
10,15.716523,-12.551236,240,67807.34375,2962782.0,2.2886376301057587,26,Projectos da Terraplanagem - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Roads,Huambo
11,15.6568397,-12.7333288,30,2645.91748046875,783607.75,0.3376584114269862,27,"Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Energy,Huambo
11,15.6568397,-12.7333288,60,1803.2110595703125,1269160.75,0.1420790124159065,27,"Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Energy,Huambo
11,15.6568397,-12.7333288,120,32975.88671875,1957526.5,1.684569108962254,27,"Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Energy,Huambo
11,15.6568397,-12.7333288,240,67704.2578125,2876909.0,2.353368070123177,27,"Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Energy,Huambo
12,15.5840385,-12.7267313,30,11992.9404296875,440824.65625,2.72056933741158,28,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Energy,Huambo
12,15.5840385,-12.7267313,60,3955.655029296875,1273501.5,0.3106125143391566,28,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Energy,Huambo
12,15.5840385,-12.7267313,120,35400.5078125,1916932.125,1.8467272445809733,28,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Energy,Huambo
12,15.5840385,-12.7267313,240,67025.546875,2850772.5,2.351136292882017,28,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Energy,Huambo
13,15.6568397,-12.7333288,30,2645.91748046875,783607.75,0.3376584114269862,29,Projectos da Implementar energia solar para irrigação e electrificação rural - Associação das Tangerinas/ Aldeia de Raimundu,Energy,Huambo
13,15.6568397,-12.7333288,60,1803.2110595703125,1269160.75,0.1420790124159065,29,Projectos da Implementar energia solar para irrigação e electrificação rural - Associação das Tangerinas/ Aldeia de Raimundu,Energy,Huambo
13,15.6568397,-12.7333288,120,32975.88671875,1957526.5,1.684569108962254,29,Projectos da Implementar energia solar para irrigação e electrificação rural - Associação das Tangerinas/ Aldeia de Raimundu,Energy,Huambo
13,15.6568397,-12.7333288,240,67704.2578125,2876909.0,2.353368070123177,29,Projectos da Implementar energia solar para irrigação e electrificação rural - Associação das Tangerinas/ Aldeia de Raimundu,Energy,Huambo
14,15.8062687,-13.0333223,30,16742.19921875,18393.857421875,91.02059907694644,30,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Chongolola/ Aldeia de Chilembo,Energy,Huambo
14,15.8062687,-13.0333223,60,30722.19140625,862256.25,3.563000141344293,30,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Chongolola/ Aldeia de Chilembo,Energy,Huambo
14,15.8062687,-13.0333223,120,59322.02734375,1648676.25,3.598161090981325,30,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Chongolola/ Aldeia de Chilembo,Energy,Huambo
14,15.8062687,-13.0333223,240,59002.2890625,2747712.0,2.147324357956729,30,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Chongolola/ Aldeia de Chilembo,Energy,Huambo
15,15.8456872,-12.8617312,30,2133.028076171875,8502.259765625,25.087778249210864,31,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Energy,Huambo
15,15.8456872,-12.8617312,60,2640.44189453125,902672.875,0.2925137076409048,31,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Energy,Huambo
15,15.8456872,-12.8617312,120,10851.587890625,1628641.875,0.6662967505133687,31,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Energy,Huambo
15,15.8456872,-12.8617312,240,58732.8671875,2779766.75,2.1128703402003066,31,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Energy,Huambo
16,15.8279142,-12.8688398,30,12717.23828125,533141.875,2.385338476976696,32,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Tuapokola/ Aldeia de Silanjala,Energy,Huambo
