Province (AOI),site_index,no,project,muni,Net New Pop (60 min),Total Catchment (60 min),% Marginal
huambo,3,3,Ponte 1 sobre Rio Kuvango - Sede do Município,Katchiungo,134938,187037,72.1
huambo,39,39,Construção de 7 km de vala antiga do CFB do rio Kuiva,Ukuma,117202,244220,48.0
huambo,25,18,Instalação de Pontos de Abastecimento de Água Comunitária Tchingongo,Tchindjenje,106990,127032,84.2
huambo,4,4,"Ponte 2 sobre, Rio Kuvango - Região do Chiumbo, Missão de Vavayela",Katchiungo,106292,138067,77.0
huambo,36,13,Construção da Vala de irrigação da Aldeia da Canata (projecto Vimbo Lietu)- Sede,Tchikala-tcholoanga,100834,635411,15.9
huambo,28,5,"Construção da Vala de irrigação da aldeia de Nduva, Sede do Município da Chicala Cholohanga",Tchikala-tcholoanga,98508,623511,15.8
huambo,26,19,Instalação de Pontos de Abastecimento de Água Comunitária Capitango,Tchindjenje,94373,100811,93.6
huambo,37,14,Construção da Vala de irrigação das aldeias de Belém e de Ndongolócua- Sede,Tchikala-tcholoanga,94257,998940,9.4
huambo,27,20,Instalação de Pontos de Abastecimento de Água Comunitária Sayambo,Tchindjenje,93131,99103,94.0
huambo,29,6,Construção da Vala de irrigação da Barragem da Suia- Sede,Tchikala-tcholoanga,89559,289716,30.9
huambo,38,37,Terraplanagem de 10km Estrada da Sede Municipal a Ombala de Cacuco,Ukuma,83702,101709,82.3
huambo,21,38,Terraplanagem de 10km de estrada da Missão do Bongo ao sector de Sandombo,Longonjo,80981,326850,24.8
huambo,35,12,Construção da Vala de irrigação da aldeia de Ngayeta- Sede,Tchikala-tcholoanga,78737,342858,23.0
huambo,23,16,Instalação de Pontos de Abastecimento de Água Comunitária Tchahola,Tchindjenje,75841,78027,97.2
huambo,24,17,Instalação de Pontos de Abastecimento de Água Comunitária Tchisseia,Tchindjenje,72344,74530,97.1
huambo,1,1,"Terraplanagem de 10 km de estrada da Aldeia de Cassoco a Aldeia de Cangongo, Município da  Caála",Caala,68635,1367564,5.0
huambo,22,15,Instalação de Pontos de Abastecimento de Água Comunitária Wilala,Tchindjenje,61976,64161,96.6
huambo,2,2,Construção do sistema de abastecimento de água a partir do rio Kunhongâmwa para a Sede do Município da Caála,Caala,48529,1355369,3.6
huambo,10,26,Projectos da Terraplanagem - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Huambo,43783,1279382,3.4
huambo,30,7,Construção da Vala de irrigação do Colonato Agrícola de Catete - Comuna do Mbave,Tchikala-tcholoanga,38086,706232,5.4
huambo,32,9,Construção da Vala de Irrigação da sede -  Comuna do Mbave,Tchikala-tcholoanga,31363,1030480,3.0
huambo,7,23,Projectos da Terraplanagem - Cooperativa Chongolola/ Aldeia de Chilembo,Huambo,31284,857686,3.6
huambo,20,36,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Efumbuluko/ Aldeia de Dende,Huambo,30879,1338284,2.3
huambo,14,30,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Chongolola/ Aldeia de Chilembo,Huambo,30722,862256,3.6
huambo,33,10,Construção da Vala de irrigação da Aldeia de Palestina - Comuna do Mbave,Tchikala-tcholoanga,30623,1022776,3.0
huambo,17,33,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Tchikuatissa/ Aldeia de Bumba Yelombe,Huambo,29079,1215437,2.4
huambo,31,8,Construção da Vala de Irrigação da Aldeia de Sesse- Comuna do Mbave,Tchikala-tcholoanga,23026,950150,2.4
huambo,8,24,Projectos da Terraplanagem - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Huambo,17932,1217688,1.5
huambo,9,25,Projectos da Terraplanagem - Cooperativa Tuapokola/ Aldeia de Silanjala,Huambo,17184,1204342,1.4
huambo,16,32,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Tuapokola/ Aldeia de Silanjala,Huambo,15324,1198476,1.3
huambo,34,11,Construção da Vala de irrigação da aldeia Chitungo - Comuna do Mbave,Tchikala-tcholoanga,14750,525606,2.8
huambo,18,34,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Tuenda Levando/ Aldeia de Bumba Yelombe,Huambo,10958,99141,11.1
huambo,6,22,Projectos da Terraplanagem - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Huambo,4289,1280394,0.3
huambo,12,28,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Ulembo Wongunja/ Aldeia do Petróleo,Huambo,3956,1273502,0.3
huambo,5,21,"Projectos da Terraplanagem - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Huambo,3653,1302686,0.3
huambo,15,31,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Katuatchisimile - Ex militares/ Aldeia de Sandangote,Huambo,2640,902673,0.3
huambo,11,27,"Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Yulo Calicoque/ Aldeia de Calicoque, Xavier Samacau",Huambo,1803,1269161,0.1
huambo,13,29,Projectos da Implementar energia solar para irrigação e electrificação rural - Associação das Tangerinas/ Aldeia de Raimundu,Huambo,1803,1269161,0.1
huambo,19,35,Projectos da Implementar energia solar para irrigação e electrificação rural - Cooperativa Cachindengue/ Aldeia de Bumba Yelombe,Huambo,375,59010,0.6
