Province (AOI),Rank,Longitude,Latitude,Flow Load (gravity-weighted trips)
huambo,1,15.7875,-12.8208,370099
huambo,2,15.7875,-12.8292,97939
huambo,3,15.7292,-12.9375,97939
huambo,4,15.7958,-12.7375,55540
huambo,5,15.7875,-12.7708,55540
huambo,6,15.8042,-12.5542,55540
huambo,7,15.7958,-12.7458,55540
huambo,8,15.7958,-12.7542,55540
huambo,9,15.8375,-12.8458,49511
huambo,10,16.0708,-12.9542,49511
huambo,11,15.6125,-12.6125,31017
huambo,12,15.6958,-12.8625,26294
huambo,13,15.7792,-11.9792,16083
huambo,14,15.5125,-12.1208,16083
huambo,15,15.2208,-12.7542,15144
huambo,16,15.8708,-12.6042,13601
huambo,17,15.8208,-12.7458,13601
huambo,18,15.7958,-12.8042,13601
huambo,19,15.9208,-12.4792,13601
huambo,20,16.0625,-12.9792,12146
