theme,var,r,p,n
productions,diff_access_land,0.879645951279254,0.04920678977405297,5
outflow,lack_conservation_infra,0.879603795311834,0.04923232108697671,5
outflow,lack_transport_means,0.6953991925928292,0.1923169553647801,5
productions,diff_dispose_products,0.6230349772479913,0.26155224278915573,5
outflow,high_transport_cost,0.6173702030230148,0.2672100982795109,5
outflow,difficult_access_to_village,0.5987169992064038,0.2860646188183989,5
productions,unavailable_agri_land,0.5627668556916919,0.32332340366139795,5
infra,veterinarians,0.5486357915712559,0.3382815591098738,5
traveltime,avg_minutes_to_market_financial,0.5449235385489116,0.3422390151683266,5
communications,none,0.4514732541502367,0.44533966958975935,5
poverty,poverty_total,0.39057647449039795,0.5156527390051172,5
outflow,insufficient_transport,0.34628432794084646,0.5680744601028425,5
communications,newspaper,0.33643209693262877,0.5798651571700147,5
waterresources,wells,0.33502725070918393,0.5815500433762687,5
waterresources,streams,0.289335079709552,0.6368136794996251,5
productions,diff_access_water,0.28191660080607783,0.6458656674853115,5
poverty,poverty_urban,0.27130464038763896,0.6588499704769508,5
foodinsecurity,went_without_food,0.23812064641872402,0.6997054205437114,5
productions,lack_agri_equipment,0.2040215624412771,0.7420452354613503,5
productions,lack_rain,0.12292452200649644,0.8438826975418046,5
foodinsecurity,ate_less_than_needed,0.01943386790206766,0.9752575884988465,5
productions,rural_exodus,0.019205658231793977,0.9755480998425657,5
foodinsecurity,unable_eat_healthy,-0.05527210097618667,0.9296612242281548,5
infra,mech_agri_equip,-0.06657186548119999,0.9153007181643924,5
productions,diff_access_credit,-0.08843679469439188,0.8875457254078153,5
infra,banking,-0.08935496596425566,0.8863813018452328,5
infra,health_units,-0.10860351845110469,0.8619940142892593,5
foodinsecurity,ran_out_of_food,-0.12364952607376839,0.8429666360229479,5
productions,lack_manpower,-0.16501464547413974,0.7908542732925408,5
waterresources,lagoons,-0.1812031377911555,0.7705538634233056,5
productions,lack_tech_assist,-0.1911494035168456,0.7581113520730358,5
infra,field_schools,-0.21396583487532855,0.7296634531004323,5
waterresources,rivers,-0.2649470800782191,0.6666482561164329,5
foodinsecurity,food_insec_scale,-0.3510198166412964,0.5624233876256917,5
communications,internet,-0.35569684578446314,0.5568525830770615,5
waterresources,lakes,-0.3857278868666327,0.521342120103645,5
infra,primary_schools,-0.3932041037664724,0.5125747468543133,5
communications,radio,-0.41259124463027197,0.4899829085919533,5
foodinsecurity,skipped_meal,-0.47004229283270116,0.42435652696126863,5
foodinsecurity,few_types_of_food,-0.47084186345836365,0.4234581727129403,5
foodinsecurity,without_food_all_day,-0.4917764357074561,0.40009467171829227,5
foodinsecurity,hungry_did_not_eat,-0.5028575387351178,0.38785434050196993,5
infra,water_storage,-0.5068144675198619,0.38350536502365606,5
communications,telephone,-0.5303216867149213,0.3579149552410264,5
communications,television,-0.6226945236610273,0.2618913661862326,5
infra,agri_stock,-0.6612962452564801,0.22421500075463338,5
infra,agri_schools,-0.8453836052461422,0.0712655009300877,5
infra,electricity,-0.8468815432175831,0.07024899894287746,5
outflow,none,-0.9491210302579034,0.013670953763734249,5
outflow,other,,,5
