site_id,x,y,lon,lat,row,col,travel_min,veg_index,ntl,drought_pct,cropland_cells_5km,cropland_km2_5km,electrified_cells_5km,electrified_share_5km,near_road_flag
1,18.8847222,-13.4394444,18.8847222,-13.4394444,268,114,437.9952087402344,0.564314603805542,0.19546493887901306,,18,0.7900000214576721,0,0.0,1
2,20.2367976,-11.5212064,20.2367976,-11.5212064,38,276,16.33858299255371,0.6464651226997375,0.5447608828544617,,24,0.14000000059604645,0,0.0,1
3,19.8603732,-13.6943526,19.8603732,-13.6943526,299,231,272.7303466796875,0.4328881502151489,0.2890605330467224,0.0,61,4.759999752044678,0,0.0,1
4,21.1787199,-15.13802,21.1787199,-15.13802,472,389,173.73886108398438,0.4957506060600281,0.284183531999588,,7,0.0,0,0.0,1
5,20.820568,-12.5282246,20.820568,-12.5282246,159,346,187.08253479003906,0.4703851044178009,0.2733166515827179,,48,1.909999966621399,0,0.0,1
6,20.130264,-12.6589063,20.130264,-12.6589063,175,263,765.393310546875,0.5734368562698364,0.23601245880126953,,1,0.0,0,0.0,1
7,21.3746172,-13.4893342,21.3746172,-13.4893342,274,412,99.21503448486328,0.41302281618118286,0.23516342043876648,,43,3.9100000858306885,0,0.0,1
8,21.3839952,-14.8067581,21.3839952,-14.8067581,432,414,110.74112701416016,0.5346266031265259,0.26062116026878357,,16,0.23999999463558197,0,0.0,1
9,20.0330212,-11.8465279,20.0330212,-11.8465279,77,251,26.08416748046875,0.6417931914329529,0.25712963938713074,,29,0.2800000011920929,0,0.0,1
10,20.4461833,-11.6545714,20.4461833,-11.6545714,54,301,53.467620849609375,0.40763741731643677,0.31824013590812683,,36,0.7099999785423279,0,0.0,1
11,21.4365504,-14.1098093,21.4365504,-14.1098093,349,420,1.350000023841858,0.45718878507614136,0.28081393241882324,,57,1.2300000190734863,0,0.0,1
12,19.2021657,-11.9580126,19.2021657,-11.9580126,90,152,139.57859802246094,0.537105917930603,0.24417699873447418,,51,1.2899999618530273,0,0.0,1
