site_id,lon,lat,dist_km_nearest_gov,dist_km_nearest_wb,dist_km_nearest_oth,count_gov_le5km,count_wb_le5km,count_oth_le5km,count_gov_le10km,count_wb_le10km,count_oth_le10km,count_gov_le30km,count_wb_le30km,count_oth_le30km
1,18.88472,-13.43944,,0.0,,0,12,0,0,12,0,0,12,0
2,20.2368,-11.52121,,0.0,,0,12,0,0,12,0,0,12,0
3,19.86037,-13.69435,,0.0,,0,12,0,0,12,0,0,12,0
4,21.17872,-15.13802,,0.0,,0,12,0,0,12,0,0,12,0
5,20.82057,-12.52822,,0.0,,0,12,0,0,12,0,0,12,0
6,20.13026,-12.65891,,0.0,,0,12,0,0,12,0,0,12,0
7,21.37462,-13.48933,,0.0,,0,12,0,0,12,0,0,12,0
8,21.384,-14.80676,,0.0,,0,12,0,0,12,0,0,12,0
9,20.03302,-11.84653,,0.0,,0,12,0,0,12,0,0,12,0
10,20.44618,-11.65457,,0.0,,0,12,0,0,12,0,0,12,0
11,21.43655,-14.10981,,0.0,,0,12,0,0,12,0,0,12,0
12,19.20217,-11.95801,,0.0,,0,12,0,0,12,0,0,12,0
