Province (AOI),Site ID,Site type,Population within 60 min,Cropland (km²) within 60 min,% of provincial population within 60 min of this site
Moxico,site_9,unknown,480541,60.6,63.55
Moxico,site_2,unknown,68133,15.47,9.01
Moxico,site_11,unknown,47240,10.6,6.25
Moxico,site_10,unknown,47157,16.18,6.24
Moxico,site_5,unknown,19370,31.55,2.56
Moxico,site_7,unknown,14404,39.36,1.9
Moxico,site_3,unknown,9982,11.02,1.32
Moxico,site_12,unknown,7804,7.53,1.03
Moxico,site_8,unknown,3706,0.31,0.49
Moxico,site_1,unknown,1623,1.15,0.21
