site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,sector,muni
1,18.8847222,-13.4394444,30,1322.3746337890625,1322.3746337890625,100.0,1,Water,Alto-Cuito
1,18.8847222,-13.4394444,60,1622.510009765625,1622.510009765625,100.0,1,Water,Alto-Cuito
1,18.8847222,-13.4394444,120,3193.806396484375,3193.806396484375,100.0,1,Water,Alto-Cuito
1,18.8847222,-13.4394444,240,15935.16796875,15935.16796875,100.0,1,Water,Alto-Cuito
2,20.2367976,-11.5212064,30,1379.93798828125,30481.556640625,4.527124400340191,2,Communication routes,Camanongue
2,20.2367976,-11.5212064,60,841.5169677734375,68132.625,1.2351160222777815,2,Communication routes,Camanongue
2,20.2367976,-11.5212064,120,293.9174194335937,583725.3125,0.0503520085799934,2,Communication routes,Camanongue
2,20.2367976,-11.5212064,240,1204.19140625,613839.875,0.1961735389461298,2,Communication routes,Camanongue
3,19.8603732,-13.6943526,30,9599.5888671875,9599.5888671875,100.0,3,Energy,Cangamba
3,19.8603732,-13.6943526,60,9981.806640625,9981.806640625,100.0,3,Energy,Cangamba
3,19.8603732,-13.6943526,120,11393.978515625,11393.978515625,100.0,3,Energy,Cangamba
3,19.8603732,-13.6943526,240,18234.59375,18761.845703125,97.1897650078362,3,Energy,Cangamba
4,21.1787199,-15.13802,30,1213.1632080078125,1213.1632080078125,100.0,4,Energy,Chiúme
4,21.1787199,-15.13802,60,1471.792724609375,1471.792724609375,100.0,4,Energy,Chiúme
4,21.1787199,-15.13802,120,2126.080078125,5208.58984375,40.8187271776865,4,Energy,Chiúme
4,21.1787199,-15.13802,240,2204.12548828125,57875.5,3.808391267948009,4,Energy,Chiúme
5,20.820568,-12.5282246,30,12368.0576171875,12368.0576171875,100.0,5,Communication routes,Lucusse
5,20.820568,-12.5282246,60,19369.90625,19369.90625,100.0,5,Communication routes,Lucusse
5,20.820568,-12.5282246,120,26795.25,28419.39453125,94.28508397860452,5,Communication routes,Lucusse
5,20.820568,-12.5282246,240,4996.5888671875,567776.3125,0.8800277075996368,5,Communication routes,Lucusse
6,20.130264,-12.6589063,30,132.64881896972656,132.64881896972656,100.0,6,Energy,Lutuai
6,20.130264,-12.6589063,60,179.08197021484375,179.08197021484375,100.0,6,Energy,Lutuai
6,20.130264,-12.6589063,120,441.0545043945313,441.0545043945313,100.0,6,Energy,Lutuai
6,20.130264,-12.6589063,240,5080.25048828125,487385.28125,1.0423479501169794,6,Energy,Lutuai
7,21.3746172,-13.4893342,30,8614.591796875,8614.591796875,100.0,7,Energy,Lutembo
7,21.3746172,-13.4893342,60,10911.712890625,14403.939453125,75.75505941367766,7,Energy,Lutembo
7,21.3746172,-13.4893342,120,9006.0048828125,60435.1796875,14.901924556824376,7,Energy,Lutembo
7,21.3746172,-13.4893342,240,5505.34375,99432.78125,5.536749229771746,7,Energy,Lutembo
8,21.3839952,-14.8067581,30,2703.505615234375,2703.505615234375,100.0,8,Energy,Ninda
8,21.3839952,-14.8067581,60,3705.98583984375,3705.98583984375,100.0,8,Energy,Ninda
8,21.3839952,-14.8067581,120,3365.175048828125,41459.20703125,8.11683408776153,8,Energy,Ninda
8,21.3839952,-14.8067581,240,2777.1943359375,73916.109375,3.757224723298013,8,Energy,Ninda
9,20.0330212,-11.8465279,30,1308.260498046875,33708.52734375,3.8810965685495695,9,Telecommunications,Luena
9,20.0330212,-11.8465279,60,592.6788940429688,480540.75,0.1233358240779723,9,Telecommunications,Luena
9,20.0330212,-11.8465279,120,4427.59765625,572196.875,0.7737892060752691,9,Telecommunications,Luena
9,20.0330212,-11.8465279,240,2359.797119140625,630743.0,0.374129735746671,9,Telecommunications,Luena
10,20.4461833,-11.6545714,30,28078.10546875,28078.10546875,100.0,10,Energy,Léua
10,20.4461833,-11.6545714,60,6146.19970703125,47156.84375,13.033526458248703,10,Energy,Léua
10,20.4461833,-11.6545714,120,779.9492797851562,560418.0625,0.1391727590481001,10,Energy,Léua
10,20.4461833,-11.6545714,240,907.7435913085938,624254.5,0.145412422546989,10,Energy,Léua
11,21.4365504,-14.1098093,30,799.887939453125,36686.234375,2.1803489866984336,11,Energy,Lumbala Nguimbo
11,21.4365504,-14.1098093,60,1499.5445556640625,47239.6953125,3.174331556849121,11,Energy,Lumbala Nguimbo
11,21.4365504,-14.1098093,120,2345.368896484375,66527.2734375,3.5254246496179724,11,Energy,Lumbala Nguimbo
11,21.4365504,-14.1098093,240,5032.306640625,87671.265625,5.739972617881322,11,Energy,Lumbala Nguimbo
12,19.2021657,-11.9580126,30,3898.115234375,3898.115234375,100.0,12,Water,Cangumbe
12,19.2021657,-11.9580126,60,7576.2255859375,7803.92431640625,97.08225347611256,12,Water,Cangumbe
12,19.2021657,-11.9580126,120,6944.04736328125,484312.125,1.4337958941831674,12,Water,Cangumbe
12,19.2021657,-11.9580126,240,2331.93994140625,599904.625,0.3887184469375028,12,Water,Cangumbe
