Province (AOI),site_index,no,muni,Net New Pop (60 min),Total Catchment (60 min),% Marginal
moxico,5,5,Lucusse,19370,19370,100.0
moxico,7,7,Lutembo,10912,14404,75.8
moxico,3,3,Cangamba,9982,9982,100.0
moxico,12,12,Cangumbe,7576,7804,97.1
moxico,10,10,Léua,6146,47157,13.0
moxico,8,8,Ninda,3706,3706,100.0
moxico,1,1,Alto-Cuito,1623,1623,100.0
moxico,11,11,Lumbala Nguimbo,1500,47240,3.2
moxico,4,4,Chiúme,1472,1472,100.0
moxico,2,2,Camanongue,842,68133,1.2
moxico,9,9,Luena,593,480541,0.1
moxico,6,6,Lutuai,179,179,100.0
