Province (AOI),Rank,Longitude,Latitude,Flow Load (gravity-weighted trips)
moxico,1,20.4125,-11.8708,31107
moxico,2,19.8208,-12.2958,31107
moxico,3,19.8292,-12.2958,31107
moxico,4,20.3958,-11.8792,31107
moxico,5,20.1375,-11.6125,29860
moxico,6,19.7958,-12.2958,29860
moxico,7,19.8792,-12.1292,29860
moxico,8,19.9708,-11.9458,29860
moxico,9,19.9958,-11.9042,14930
moxico,10,20.1625,-11.5708,14930
moxico,11,20.0708,-11.7375,14930
moxico,12,20.0792,-11.7375,14930
moxico,13,20.1542,-11.5875,14930
moxico,14,19.7958,-12.2875,14930
moxico,15,19.8292,-12.2375,14930
moxico,16,19.8875,-12.1042,14930
moxico,17,20.4792,-11.6458,6790
moxico,18,20.4292,-11.5958,6790
moxico,19,20.2625,-11.4375,6790
moxico,20,20.3708,-11.5458,6790
