theme,var,r,p,n
outflow,insufficient_transport,0.9999977042051009,2.2957948990764976e-06,4
communications,none,0.9999939881958648,6.011804135175325e-06,4
productions,diff_access_water,0.9999866333785961,1.3366621403942958e-05,4
foodinsecurity,few_types_of_food,0.9999780456539775,2.1954346022479143e-05,4
productions,lack_agri_equipment,0.9999233034527812,7.669654721875752e-05,4
productions,lack_tech_assist,0.9998854960807746,0.00011450391922540604,4
foodinsecurity,skipped_meal,0.9997041616112924,0.0002958383887077254,4
infra,field_schools,0.999302792012367,0.0006972079876330639,4
productions,lack_rain,0.9992853006321331,0.0007146993678670555,4
traveltime,avg_minutes_to_market_financial,0.998847759593285,0.0011522404067150216,4
foodinsecurity,ate_less_than_needed,0.9986473562119869,0.0013526437880131414,4
poverty,poverty_total,0.9985657607481744,0.0014342392518256197,4
outflow,high_transport_cost,0.9979643202529008,0.002035679747099284,4
outflow,lack_conservation_infra,0.9971496267535862,0.0028503732464137954,4
foodinsecurity,unable_eat_healthy,0.9969257059022031,0.0030742940977970257,4
communications,radio,0.9964094083888885,0.0035905916111116376,4
foodinsecurity,ran_out_of_food,0.9960238769151907,0.003976123084809213,4
productions,diff_dispose_products,0.9957659756075352,0.004234024392464786,4
productions,rural_exodus,0.9955902607361536,0.004409739263846468,4
productions,unavailable_agri_land,0.9953903179457355,0.004609682054264486,4
foodinsecurity,went_without_food,0.9942309978201527,0.005769002179847327,4
outflow,difficult_access_to_village,0.9938588572479273,0.006141142752072781,4
productions,diff_access_credit,0.9924644520364009,0.007535547963599232,4
foodinsecurity,food_insec_scale,0.9920198099666391,0.007980190033360923,4
waterresources,rivers,0.9823355668929021,0.017664433107097866,4
communications,telephone,0.9809356241324597,0.019064375867540395,4
productions,lack_manpower,0.9776179057498794,0.0223820942501205,4
infra,primary_schools,0.975636651870103,0.024363348129897044,4
infra,health_units,0.9626470609658573,0.03735293903414272,4
outflow,lack_transport_means,0.9552659318152303,0.04473406818476966,4
productions,diff_access_land,0.9419264236054294,0.05807357639457056,4
foodinsecurity,hungry_did_not_eat,0.9418160565787226,0.05818394342127742,4
communications,television,0.9294576017280625,0.07054239827193753,4
waterresources,lagoons,0.890862011202044,0.109137988797956,4
communications,internet,0.8872408007984366,0.1127591992015633,4
foodinsecurity,without_food_all_day,0.8653833193161025,0.13461668068389754,4
infra,mech_agri_equip,0.8281825904990994,0.17181740950090063,4
waterresources,lakes,0.8247572102252364,0.1752427897747637,4
waterresources,wells,0.7736408598879619,0.22635914011203795,4
waterresources,streams,0.7733865254893604,0.22661347451063962,4
infra,electricity,0.7531848979225764,0.24681510207742363,4
infra,water_storage,0.7238358373595917,0.27616416264040833,4
communications,newspaper,0.5750088809907243,0.42499111900927566,4
poverty,poverty_urban,0.5750088809907243,0.42499111900927566,4
infra,agri_schools,0.5750088809907243,0.42499111900927566,4
infra,agri_stock,0.5750088809907243,0.42499111900927566,4
infra,veterinarians,,,4
infra,banking,,,4
outflow,none,,,4
outflow,other,,,4
