oi,dj,flow,dist_km
AGO019001,AGO019001,462378.20851686416,0.0
AGO019001,AGO019003,7819.901392107002,183.53883101281394
AGO019001,AGO019005,16184.028919527003,111.31823335968625
AGO019001,AGO019006,26934.867508359774,175.991504180705
AGO019003,AGO019001,7819.901392107002,183.53883101281394
AGO019003,AGO019003,32561.337900231738,0.0
AGO019003,AGO019005,6163.950528834774,87.2301144135497
AGO019003,AGO019006,13974.567743177666,131.29508884509414
AGO019005,AGO019001,16184.028919527003,111.31823335968625
AGO019005,AGO019003,6163.950528834774,87.2301144135497
AGO019005,AGO019005,15978.012925605886,0.0
AGO019005,AGO019006,19447.667550188507,85.53215034392476
AGO019006,AGO019001,26934.867508359774,175.991504180705
AGO019006,AGO019003,13974.567743177666,131.29508884509414
AGO019006,AGO019005,19447.667550188507,85.53215034392476
AGO019006,AGO019006,308032.47337290883,0.0
