Province (AOI),Rank,Longitude,Latitude,Flow Load (gravity-weighted trips)
moxicoleste,1,22.0042,-10.9208,53870
moxicoleste,2,22.2458,-11.2625,53870
moxicoleste,3,22.2542,-11.2708,53870
moxicoleste,4,22.2292,-11.2375,53870
moxicoleste,5,22.2375,-11.2542,53870
moxicoleste,6,22.6625,-11.8625,53870
moxicoleste,7,22.6708,-11.8708,53870
moxicoleste,8,22.8125,-12.0792,53870
moxicoleste,9,22.7875,-12.0458,53870
moxicoleste,10,22.6458,-11.8458,53870
moxicoleste,11,22.0292,-11.4708,38895
moxicoleste,12,22.0375,-11.5292,38895
moxicoleste,13,21.9958,-10.9542,38895
moxicoleste,14,21.9958,-10.9292,38895
moxicoleste,15,21.9958,-10.9375,38895
moxicoleste,16,21.9958,-10.9458,38895
moxicoleste,17,22.0375,-11.4958,38895
moxicoleste,18,22.3042,-11.8375,32368
moxicoleste,19,22.3292,-11.8458,32368
moxicoleste,20,22.3375,-11.8542,32368
